time,ax,ay,az
2019-04-04 17:7:55.2830,0.05,-0.02,-0.03
2019-04-04 17:7:55.3730,0.09,-0.0,-0.04
2019-04-04 17:7:55.4640,0.04,-0.0,-0.01
2019-04-04 17:7:55.5540,0.0,0.02,0.01
2019-04-04 17:7:55.6470,-0.01,0.02,0.04
2019-04-04 17:7:55.7470,-0.03,0.02,0.03
2019-04-04 17:7:55.8260,-0.01,0.01,-0.07
2019-04-04 17:7:55.9180,0.01,-0.0,-0.02
2019-04-04 17:7:56.0130,0.02,0.0,0.01
2019-04-04 17:7:56.1000,0.02,0.0,0.06
2019-04-04 17:7:56.1880,0.01,-0.02,0.05
2019-04-04 17:7:56.2790,-0.04,-0.0,-0.01
2019-04-04 17:7:56.3700,-0.02,0.02,-0.02
2019-04-04 17:7:56.4600,0.01,-0.01,0.07
2019-04-04 17:7:56.5540,-0.0,-0.0,-0.04
2019-04-04 17:7:56.6520,0.0,-0.01,-0.06
2019-04-04 17:7:56.7320,0.01,-0.02,-0.02
2019-04-04 17:7:56.8220,0.02,-0.01,-0.03
2019-04-04 17:7:56.9170,0.02,0.02,0.01
2019-04-04 17:7:57.0060,0.01,0.03,0.05
2019-04-04 17:7:57.0940,-0.01,0.01,0.07
2019-04-04 17:7:57.1850,-0.03,0.02,-0.0
2019-04-04 17:7:57.2750,-0.01,0.0,0.01
2019-04-04 17:7:57.3660,0.0,0.0,0.03
2019-04-04 17:7:57.4570,0.02,-0.0,0.02
2019-04-04 17:7:57.5580,0.01,-0.01,-0.01
2019-04-04 17:7:57.6370,-0.02,0.0,-0.02
2019-04-04 17:7:57.7280,-0.0,0.0,-0.04
2019-04-04 17:7:57.8250,0.01,0.01,0.03
2019-04-04 17:7:57.9110,0.01,0.01,0.04
2019-04-04 17:7:58.0000,0.04,-0.03,0.01
2019-04-04 17:7:58.0900,-0.01,-0.01,0.0
2019-04-04 17:7:58.1810,-0.03,0.02,-0.05
2019-04-04 17:7:58.2710,0.01,0.01,-0.01
2019-04-04 17:7:58.3660,0.01,0.01,0.04
2019-04-04 17:7:58.4620,0.03,-0.01,0.03
2019-04-04 17:7:58.5430,0.01,0.01,-0.02
2019-04-04 17:7:58.6330,-0.0,-0.0,-0.05
2019-04-04 17:7:58.7310,-0.01,0.0,-0.01
2019-04-04 17:7:58.8170,-0.01,0.02,0.01
2019-04-04 17:7:58.9050,0.01,0.01,0.01
2019-04-04 17:7:58.9960,0.03,-0.02,0.03
2019-04-04 17:7:59.0860,-0.03,0.0,0.0
2019-04-04 17:7:59.1770,-0.01,0.01,-0.02
2019-04-04 17:7:59.2710,0.01,-0.0,0.03
2019-04-04 17:7:59.3690,0.01,-0.01,-0.01
2019-04-04 17:7:59.4490,-0.0,0.01,0.04
2019-04-04 17:7:59.5390,-0.01,0.01,-0.01
2019-04-04 17:7:59.6360,-0.0,-0.01,-0.02
2019-04-04 17:7:59.7230,-0.01,-0.0,0.0
2019-04-04 17:7:59.8110,0.02,0.01,0.01
2019-04-04 17:7:59.9010,0.04,-0.01,0.03
2019-04-04 17:7:59.9920,0.01,-0.01,0.05
2019-04-04 17:8:00.0820,0.0,-0.02,0.01
2019-04-04 17:8:00.1770,-0.01,-0.03,0.01
2019-04-04 17:8:00.2760,-0.0,-0.05,0.09
2019-04-04 17:8:00.3540,-0.06,-0.02,0.08
2019-04-04 17:8:00.4450,-0.06,-0.06,0.04
2019-04-04 17:8:00.5390,-0.08,-0.08,0.09
2019-04-04 17:8:00.6270,-0.08,-0.13,0.14
2019-04-04 17:8:00.7160,-0.06,-0.15,0.04
2019-04-04 17:8:00.8070,-0.08,-0.15,0.08
2019-04-04 17:8:00.8980,0.01,-0.14,-0.09
2019-04-04 17:8:00.9880,0.04,-0.04,-0.08
2019-04-04 17:8:01.0840,0.18,-0.02,-0.2
2019-04-04 17:8:01.1820,0.05,0.03,0.08
2019-04-04 17:8:01.2600,-0.01,-0.05,0.2
2019-04-04 17:8:01.3500,-0.02,-0.09,0.21
2019-04-04 17:8:01.4470,0.04,-0.14,-0.0
2019-04-04 17:8:01.5340,-0.02,-0.12,-0.17
2019-04-04 17:8:01.6220,-0.09,0.01,-0.38
2019-04-04 17:8:01.7130,-0.01,-0.01,-0.0
2019-04-04 17:8:01.8030,-0.1,0.07,0.22
2019-04-04 17:8:01.8940,-0.05,-0.01,0.25
2019-04-04 17:8:01.9870,-0.03,-0.1,0.12
2019-04-04 17:8:02.0860,0.08,-0.01,-0.31
2019-04-04 17:8:02.1650,0.07,0.11,-0.34
2019-04-04 17:8:02.2560,0.12,0.08,0.12
2019-04-04 17:8:02.3530,-0.01,0.07,0.14
2019-04-04 17:8:02.4390,-0.0,-0.0,0.28
2019-04-04 17:8:02.5280,0.03,-0.12,0.11
2019-04-04 17:8:02.6180,-0.13,-0.06,-0.33
2019-04-04 17:8:02.7090,-0.05,0.0,-0.39
2019-04-04 17:8:02.7990,0.06,0.05,0.01
2019-04-04 17:8:02.8930,0.02,0.08,0.21
2019-04-04 17:8:02.9910,-0.08,0.03,0.22
2019-04-04 17:8:03.0710,-0.08,-0.13,0.07
2019-04-04 17:8:03.1620,-0.01,0.01,-0.2
2019-04-04 17:8:03.2560,0.13,0.17,-0.38
2019-04-04 17:8:03.3450,0.11,0.09,0.16
2019-04-04 17:8:03.4330,0.01,0.05,0.0
2019-04-04 17:8:03.5240,-0.02,-0.03,0.26
2019-04-04 17:8:03.6150,-0.09,-0.16,0.06
2019-04-04 17:8:03.7050,-0.07,-0.0,-0.07
2019-04-04 17:8:03.8010,0.01,0.01,-0.28
2019-04-04 17:8:03.8990,0.02,0.06,-0.12
2019-04-04 17:8:03.9770,-0.02,0.05,0.29
2019-04-04 17:8:04.0670,-0.09,-0.02,0.17
2019-04-04 17:8:04.1640,-0.09,-0.19,0.1
2019-04-04 17:8:04.2500,-0.04,0.03,-0.2
2019-04-04 17:8:04.3390,0.04,0.12,-0.32
2019-04-04 17:8:04.4290,0.18,0.06,-0.05
2019-04-04 17:8:04.5200,0.03,0.12,0.08
2019-04-04 17:8:04.6110,0.02,-0.01,0.35
2019-04-04 17:8:04.7070,0.04,-0.14,0.1
2019-04-04 17:8:04.8050,-0.07,-0.07,-0.11
2019-04-04 17:8:04.8820,-0.08,-0.02,-0.42
2019-04-04 17:8:04.9730,0.01,0.05,-0.13
2019-04-04 17:8:05.0710,0.03,0.09,0.28
2019-04-04 17:8:05.1550,-0.07,0.0,0.14
2019-04-04 17:8:05.2450,-0.08,-0.05,0.15
2019-04-04 17:8:05.3350,0.06,0.01,-0.11
2019-04-04 17:8:05.4260,0.01,0.2,-0.39
2019-04-04 17:8:05.5160,0.16,0.03,0.08
2019-04-04 17:8:05.6110,0.02,-0.0,0.04
2019-04-04 17:8:05.7100,-0.01,-0.03,0.26
2019-04-04 17:8:05.7880,0.06,-0.16,0.16
2019-04-04 17:8:05.8780,-0.02,-0.05,-0.02
2019-04-04 17:8:05.9740,-0.05,0.03,-0.31
2019-04-04 17:8:06.0610,-0.0,0.06,-0.21
2019-04-04 17:8:06.1500,0.02,0.1,0.14
2019-04-04 17:8:06.2410,-0.06,0.08,0.25
2019-04-04 17:8:06.3310,-0.05,-0.01,0.21
2019-04-04 17:8:06.4220,0.02,0.01,-0.01
2019-04-04 17:8:06.5170,0.14,0.04,-0.38
2019-04-04 17:8:06.6180,0.22,0.1,-0.18
2019-04-04 17:8:06.6940,0.06,0.08,0.11
2019-04-04 17:8:06.7840,-0.05,0.01,0.26
2019-04-04 17:8:06.8790,0.03,-0.09,0.2
2019-04-04 17:8:06.9670,-0.06,-0.06,0.07
2019-04-04 17:8:07.0560,-0.04,-0.05,-0.24
2019-04-04 17:8:07.1460,-0.15,0.09,-0.3
2019-04-04 17:8:07.2370,-0.04,0.03,0.07
2019-04-04 17:8:07.3270,-0.05,-0.03,0.24
2019-04-04 17:8:07.4230,-0.06,-0.04,0.15
2019-04-04 17:8:07.5230,-0.07,0.01,-0.06
2019-04-04 17:8:07.5990,0.17,0.08,-0.23
2019-04-04 17:8:07.6900,0.18,0.15,-0.24
2019-04-04 17:8:07.7860,0.04,0.07,-0.0
2019-04-04 17:8:07.8720,-0.05,-0.07,0.25
2019-04-04 17:8:07.9610,-0.03,-0.24,0.2
2019-04-04 17:8:08.0520,-0.08,-0.06,-0.12
2019-04-04 17:8:08.1420,0.03,0.07,-0.13
2019-04-04 17:8:08.2330,0.03,0.12,-0.3
2019-04-04 17:8:08.3300,0.04,0.07,0.11
2019-04-04 17:8:08.4270,-0.09,0.03,0.28
2019-04-04 17:8:08.5050,-0.07,-0.02,0.13
2019-04-04 17:8:08.5950,-0.01,-0.05,-0.05
2019-04-04 17:8:08.6900,0.09,0.05,-0.32
2019-04-04 17:8:08.7780,0.18,0.18,-0.17
2019-04-04 17:8:08.8670,0.11,0.03,0.21
2019-04-04 17:8:08.9570,-0.0,0.04,0.17
2019-04-04 17:8:09.0480,0.15,-0.07,0.27
2019-04-04 17:8:09.1390,0.05,-0.08,-0.03
2019-04-04 17:8:09.2380,0.02,0.03,-0.22
2019-04-04 17:8:09.3360,-0.04,0.11,-0.33
2019-04-04 17:8:09.4100,-0.01,0.06,0.1
2019-04-04 17:8:09.5010,-0.04,0.03,0.2
2019-04-04 17:8:09.5960,-0.08,-0.0,0.26
2019-04-04 17:8:09.6820,-0.02,-0.02,-0.01
2019-04-04 17:8:09.7730,0.05,0.06,-0.49
2019-04-04 17:8:09.8630,0.11,0.1,-0.24
2019-04-04 17:8:09.9540,0.11,0.04,0.12
2019-04-04 17:8:10.0440,0.03,-0.01,0.36
2019-04-04 17:8:10.1410,0.1,-0.16,0.16
2019-04-04 17:8:10.2420,-0.02,-0.05,-0.05
2019-04-04 17:8:10.3160,0.01,-0.0,-0.23
2019-04-04 17:8:10.4060,-0.04,0.15,-0.22
2019-04-04 17:8:10.5010,0.07,0.03,0.12
2019-04-04 17:8:10.5880,-0.03,-0.0,0.27
2019-04-04 17:8:10.6780,0.01,-0.09,0.08
2019-04-04 17:8:10.7690,-0.06,-0.06,-0.14
2019-04-04 17:8:10.8590,-0.04,0.03,-0.39
2019-04-04 17:8:10.9500,0.22,0.1,-0.08
2019-04-04 17:8:11.0470,0.06,0.1,0.09
2019-04-04 17:8:11.1490,-0.02,0.02,0.28
2019-04-04 17:8:11.2210,-0.04,-0.1,0.21
2019-04-04 17:8:11.3120,-0.09,-0.09,-0.09
2019-04-04 17:8:11.4070,0.02,0.0,-0.15
2019-04-04 17:8:11.4930,-0.02,0.17,-0.24
2019-04-04 17:8:11.5840,0.01,0.11,0.13
2019-04-04 17:8:11.6740,-0.03,0.02,0.18
2019-04-04 17:8:11.7650,-0.04,-0.06,0.23
2019-04-04 17:8:11.8550,-0.05,0.0,-0.09
2019-04-04 17:8:11.9540,0.06,0.09,-0.39
2019-04-04 17:8:12.0540,0.17,0.12,-0.01
2019-04-04 17:8:12.1270,0.13,0.01,0.09
2019-04-04 17:8:12.2180,0.03,-0.02,0.23
2019-04-04 17:8:12.3130,0.04,-0.1,0.08
2019-04-04 17:8:12.4000,-0.04,-0.03,-0.15
2019-04-04 17:8:12.4890,0.05,-0.02,-0.18
2019-04-04 17:8:12.5800,-0.09,0.17,-0.14
2019-04-04 17:8:12.6700,0.01,0.05,0.19
2019-04-04 17:8:12.7610,-0.05,-0.03,0.18
2019-04-04 17:8:12.8610,-0.05,-0.07,0.16
2019-04-04 17:8:12.9610,0.06,0.02,-0.08
2019-04-04 17:8:13.0330,0.05,0.16,-0.47
2019-04-04 17:8:13.1230,0.18,0.13,-0.05
2019-04-04 17:8:13.2180,0.02,0.01,0.23
2019-04-04 17:8:13.3040,-0.03,-0.09,0.27
2019-04-04 17:8:13.3950,0.04,-0.2,0.02
2019-04-04 17:8:13.4850,-0.08,-0.09,-0.19
2019-04-04 17:8:13.5760,-0.09,0.04,-0.27
2019-04-04 17:8:13.6680,-0.07,0.11,-0.17
2019-04-04 17:8:13.7680,0.03,0.06,0.28
2019-04-04 17:8:13.8640,-0.05,0.05,0.17
2019-04-04 17:8:13.9380,-0.1,-0.03,0.15
2019-04-04 17:8:14.0290,0.02,-0.03,-0.09
2019-04-04 17:8:14.1220,0.02,0.17,-0.56
2019-04-04 17:8:14.2100,0.21,0.08,0.09
2019-04-04 17:8:14.3010,0.15,-0.04,0.13
2019-04-04 17:8:14.3910,0.03,-0.01,0.24
2019-04-04 17:8:14.4820,0.03,-0.1,0.15
2019-04-04 17:8:14.5730,-0.04,-0.02,-0.22
2019-04-04 17:8:14.6720,0.01,-0.03,-0.15
2019-04-04 17:8:14.7730,-0.04,0.17,-0.19
2019-04-04 17:8:14.8440,0.08,0.01,0.31
2019-04-04 17:8:14.9340,-0.03,-0.0,0.26
2019-04-04 17:8:15.0260,-0.12,-0.09,0.08
2019-04-04 17:8:15.1150,-0.05,-0.03,-0.2
2019-04-04 17:8:15.2060,0.14,0.14,-0.57
2019-04-04 17:8:15.2970,0.07,0.16,0.07
2019-04-04 17:8:15.3870,0.11,-0.05,0.25
2019-04-04 17:8:15.4800,0.04,-0.13,0.27
2019-04-04 17:8:15.5790,-0.05,-0.09,0.08
2019-04-04 17:8:15.6760,-0.12,-0.07,-0.27
2019-04-04 17:8:15.7500,-0.12,0.11,-0.54
2019-04-04 17:8:15.8400,-0.1,0.13,-0.03
2019-04-04 17:8:15.9350,0.02,0.08,0.39
2019-04-04 17:8:16.0210,-0.01,0.01,0.27
2019-04-04 17:8:16.1120,-0.03,-0.02,0.08
2019-04-04 17:8:16.2020,0.04,0.04,-0.42
2019-04-04 17:8:16.2930,0.14,0.1,-0.2
2019-04-04 17:8:16.3850,0.1,0.09,0.09
2019-04-04 17:8:16.4860,0.08,0.01,0.24
2019-04-04 17:8:16.5840,0.01,-0.07,0.29
2019-04-04 17:8:16.6550,-0.04,-0.07,-0.11
2019-04-04 17:8:16.7460,-0.11,-0.08,-0.29
2019-04-04 17:8:16.8410,-0.09,0.04,-0.38
2019-04-04 17:8:16.9270,0.0,0.09,0.1
2019-04-04 17:8:17.0170,-0.03,0.08,0.26
2019-04-04 17:8:17.1080,-0.05,0.02,0.18
2019-04-04 17:8:17.1990,-0.02,-0.02,-0.02
2019-04-04 17:8:17.2890,0.13,0.05,-0.17
2019-04-04 17:8:17.3890,0.12,0.14,-0.29
2019-04-04 17:8:17.4900,0.12,0.09,0.04
2019-04-04 17:8:17.5610,0.05,0.02,0.24
2019-04-04 17:8:17.6510,0.01,-0.08,0.26
2019-04-04 17:8:17.7440,-0.05,-0.12,0.01
2019-04-04 17:8:17.8320,0.02,-0.09,-0.31
2019-04-04 17:8:17.9230,-0.11,0.2,-0.36
2019-04-04 17:8:18.0130,0.02,0.08,0.13
