time,ax,ay,az
2019-04-04 17:5:46.3550,0.03,0.03,0.0
2019-04-04 17:5:46.4450,0.06,-0.03,0.01
2019-04-04 17:5:46.5360,-0.02,0.01,0.03
2019-04-04 17:5:46.6260,-0.03,0.06,0.01
2019-04-04 17:5:46.7220,0.0,-0.04,0.02
2019-04-04 17:5:46.8190,-0.04,0.04,0.03
2019-04-04 17:5:46.9150,-0.01,-0.01,0.03
2019-04-04 17:5:46.9890,-0.01,0.03,-0.04
2019-04-04 17:5:47.0810,0.0,-0.0,0.05
2019-04-04 17:5:47.1700,-0.03,0.03,-0.02
2019-04-04 17:5:47.2600,-0.01,0.01,0.01
2019-04-04 17:5:47.3510,0.0,-0.0,-0.01
2019-04-04 17:5:47.4410,-0.03,0.01,-0.03
2019-04-04 17:5:47.5320,-0.01,0.0,-0.03
2019-04-04 17:5:47.6280,-0.01,0.02,-0.0
2019-04-04 17:5:47.7260,0.01,0.0,0.03
2019-04-04 17:5:47.8190,0.02,-0.01,0.05
2019-04-04 17:5:47.8960,-0.03,0.0,-0.01
2019-04-04 17:5:47.9870,-0.01,0.0,0.0
2019-04-04 17:5:48.0750,-0.0,-0.01,0.01
2019-04-04 17:5:48.1660,-0.01,0.0,0.01
2019-04-04 17:5:48.2560,-0.03,0.03,-0.03
2019-04-04 17:5:48.3470,0.02,-0.01,-0.02
2019-04-04 17:5:48.4370,-0.01,0.01,0.0
2019-04-04 17:5:48.5340,-0.01,0.02,0.01
2019-04-04 17:5:48.6310,-0.01,0.02,0.01
2019-04-04 17:5:48.7280,0.0,0.01,0.0
2019-04-04 17:5:48.8000,0.02,-0.02,0.02
2019-04-04 17:5:48.8910,-0.0,-0.01,0.02
2019-04-04 17:5:48.9810,-0.02,0.01,-0.03
2019-04-04 17:5:49.0710,-0.0,-0.01,0.01
2019-04-04 17:5:49.1620,-0.03,0.01,0.0
2019-04-04 17:5:49.2520,-0.02,0.01,0.0
2019-04-04 17:5:49.3430,-0.0,0.0,-0.01
2019-04-04 17:5:49.4380,-0.0,0.01,-0.03
2019-04-04 17:5:49.5390,-0.01,0.02,0.0
2019-04-04 17:5:49.6320,0.01,0.0,0.02
2019-04-04 17:5:49.7060,0.03,-0.01,0.0
2019-04-04 17:5:49.7980,0.02,-0.02,0.03
2019-04-04 17:5:49.8860,-0.02,0.01,-0.01
2019-04-04 17:5:49.9770,-0.01,0.0,0.01
2019-04-04 17:5:50.0670,-0.01,0.01,0.02
2019-04-04 17:5:50.1580,-0.01,-0.02,-0.0
2019-04-04 17:5:50.2480,-0.01,-0.01,-0.02
2019-04-04 17:5:50.3460,-0.02,0.02,-0.02
2019-04-04 17:5:50.4410,0.0,-0.01,0.0
2019-04-04 17:5:50.5410,-0.01,0.01,0.01
2019-04-04 17:5:50.6120,0.01,0.01,0.03
2019-04-04 17:5:50.7020,0.02,-0.0,0.0
2019-04-04 17:5:50.7920,0.02,-0.03,0.06
2019-04-04 17:5:50.8820,-0.0,-0.01,0.01
2019-04-04 17:5:50.9730,0.03,-0.04,0.0
2019-04-04 17:5:51.0640,0.02,-0.04,0.0
2019-04-04 17:5:51.1540,-0.04,-0.05,0.02
2019-04-04 17:5:51.2500,-0.04,-0.09,0.09
2019-04-04 17:5:51.3480,-0.08,-0.09,0.08
2019-04-04 17:5:51.4440,-0.07,-0.15,0.13
2019-04-04 17:5:51.5170,-0.08,-0.13,0.11
2019-04-04 17:5:51.6080,-0.04,-0.14,0.07
2019-04-04 17:5:51.6970,-0.08,-0.12,0.04
2019-04-04 17:5:51.7880,0.0,-0.03,-0.08
2019-04-04 17:5:51.8790,0.08,-0.02,-0.15
2019-04-04 17:5:51.9690,0.09,-0.04,-0.02
2019-04-04 17:5:52.0600,0.01,0.0,-0.05
2019-04-04 17:5:52.1560,0.04,-0.09,0.21
2019-04-04 17:5:52.2530,0.04,-0.1,0.21
2019-04-04 17:5:52.3480,0.03,-0.18,-0.02
2019-04-04 17:5:52.4230,-0.02,-0.07,-0.26
