time;ax;ay;az;aT
0,492000;0,4360;-0,6519;0,4158;0,888
0,496000;-1,4127;-0,1722;-0,7721;1,619
0,500000;0,4297;0,0988;-2,1085;2,154
0,504000;-0,6573;-0,3948;-1,8358;1,989
0,508000;0,6648;0,0668;0,0846;0,673
0,512000;-0,0276;-0,4857;1,0056;1,117
0,516000;0,5586;-0,6942;1,4231;1,679
0,520000;-1,1631;-0,3788;0,9332;1,539
0,524000;0,4357;-0,3805;-0,6900;0,900
0,528000;-0,8807;0,3175;-1,0868;1,434
0,532000;1,0650;0,6149;-1,5189;1,954
0,536000;-0,5207;0,0403;-0,7973;0,953
0,542000;0,9587;0,3781;0,7537;1,277
0,545000;-0,7342;-0,3413;1,3200;1,548
0,548000;0,6868;0,2873;1,0315;1,272
0,552000;-1,2401;0,0491;0,0612;1,243
0,557000;-0,4017;0,6963;-0,9127;1,216
0,562000;0,4240;0,1472;-1,2251;1,305
0,564000;-0,6670;0,6780;-0,3365;1,009
0,567000;-0,5760;-0,0519;0,0494;0,580
0,573000;-1,3520;0,1428;0,7772;1,566
0,575000;0,6174;0,0548;0,8195;1,028
0,580000;-0,9850;0,1792;0,1627;1,014
0,583000;0,8550;0,3021;-0,8399;1,236
0,588000;0,7485;-0,3009;0,1081;0,814
0,592000;0,9096;0,2513;0,4644;1,052
0,595000;0,1693;0,4363;-0,5688;0,737
0,602000;0,6166;-0,1391;-0,9529;1,143
0,603000;0,1385;1,0232;0,4589;1,130
0,614000;1,1931;-1,2696;0,8999;1,961
0,615000;-0,4648;0,5366;1,4699;1,632
0,615000;-0,5715;0,9984;-0,8559;1,434
0,619000;-0,5609;0,1320;-2,4824;2,548
0,624000;-0,0195;1,0344;-0,6519;1,223
0,627000;0,1023;-0,8304;1,5439;1,756
0,631000;-0,4898;0,1464;2,0561;2,119
0,635000;0,8880;-0,6525;0,8127;1,369
0,640000;-0,0858;1,2527;-0,2211;1,275
0,643000;-0,0817;-0,4485;-2,6959;2,734
0,647000;-0,2862;1,0568;-1,3248;1,719
0,651000;0,4161;0,5754;0,7263;1,016
0,657000;-0,4592;-0,9768;1,2588;1,658
0,659000;-1,4673;-6,1718;-1,8630;6,612
0,663000;1,2382;-6,4154;-0,6301;6,564
0,667000;2,7112;-4,8421;2,0356;5,911
0,671000;-0,1372;-6,3212;0,5599;6,347
0,675000;0,0785;-6,0588;0,1042;6,060
0,679000;-0,5774;-5,1421;-0,8220;5,239
0,683000;-0,0500;-4,0551;-2,0672;4,552
0,687000;-0,0750;-4,2532;-1,5004;4,511
0,692000;0,2260;-3,6765;0,0705;3,684
0,696000;0,3806;-4,0884;1,2902;4,304
0,699000;-1,0725;-4,6111;1,1593;4,874
0,703000;-0,8991;-2,5574;0,2440;2,722
0,707000;0,0649;-4,1081;-0,9955;4,227
0,711000;0,7395;-2,4659;-1,7646;3,121
0,714000;-0,1411;-2,7123;-0,3279;2,736
0,719000;-1,5198;-2,6862;-0,2749;3,099
0,724000;1,0913;-2,2272;1,0714;2,702
0,727000;-1,6726;-0,7730;1,4542;2,347
0,731000;-0,3155;-2,3895;-2,4268;3,420
0,735000;-1,3117;-0,0250;-1,3453;1,879
0,739000;-0,6652;0,6234;0,4995;1,040
0,742000;0,5234;-0,4877;4,2522;4,312
0,747000;-0,2742;0,2320;2,0536;2,085
0,750000;3,0593;-1,8778;-4,0159;5,386
0,755000;-1,0996;1,8451;-2,5807;3,358
0,758000;-0,6534;-2,4489;-3,3193;4,176
0,763000;-1,9864;1,6064;0,1357;2,558
