time;ax;ay;az;aT
0,003000;0,0895;0,0237;-1,1872;1,191
0,003000;-0,2115;0,0448;-2,1614;2,172
0,003000;-0,3254;0,1754;-1,1351;1,194
0,008000;-0,1917;-0,0111;0,7176;0,743
0,012000;0,0661;-0,1376;1,8244;1,831
0,013000;0,2122;-0,0333;1,2245;1,243
0,018000;0,1691;0,1040;-0,1259;0,235
0,026000;0,0306;-0,1406;-0,9780;0,989
0,031000;-0,1005;-0,0011;-0,3526;0,367
0,037000;-0,1938;0,2021;0,5478;0,615
0,041000;-0,0598;0,0561;0,6787;0,684
0,045000;0,1527;-0,2065;0,3858;0,463
0,049000;0,3031;-0,2201;-0,1937;0,422
0,053000;0,1381;-0,0363;-0,7173;0,731
0,060000;-0,1823;0,1390;-0,6637;0,702
0,060000;-0,1965;0,1038;0,0068;0,222
0,065000;-0,1366;0,0517;0,6095;0,627
0,069000;0,0357;0,0235;0,6328;0,634
0,075000;0,0714;0,0114;0,1275;0,147
0,077000;0,0353;-0,0659;-0,4037;0,411
0,081000;0,0425;-0,1434;-0,5277;0,549
0,084000;0,0115;-0,0263;-0,1302;0,133
0,090000;-0,0265;0,0082;0,1882;0,190
0,093000;-0,1005;0,1456;0,2503;0,306
0,096000;-0,1364;0,1097;0,1831;0,253
0,100000;0,0119;0,0060;0,0536;0,055
0,104000;0,1600;-0,0761;-0,1116;0,209
0,108000;0,1360;-0,0761;-0,2239;0,273
0,112000;-0,0266;0,0179;-0,1781;0,181
0,116000;-0,1079;0,0375;0,0088;0,115
0,120000;-0,1196;0,0424;0,2360;0,268
0,124000;-0,0215;0,0470;0,3122;0,316
0,128000;0,0454;0,0157;0,0702;0,085
0,132000;0,0261;-0,0108;-0,2120;0,214
0,135000;0,0428;-0,0349;-0,2501;0,256
0,141000;0,0213;-0,0325;-0,0704;0,080
0,144000;0,0023;0,0085;0,1832;0,183
0,148000;-0,0478;0,0377;0,2093;0,218
0,152000;-0,1027;0,0114;0,0584;0,119
0,158000;-0,0357;0,0350;-0,0493;0,070
0,160000;0,0360;-0,0181;-0,1545;0,160
0,163000;0,0981;0,0034;-0,1185;0,154
0,167000;0,0310;0,0132;-0,0322;0,047
0,172000;-0,0239;0,0471;0,0134;0,054
0,176000;-0,0429;0,0400;0,0946;0,111
0,180000;-0,0501;-0,0105;0,0897;0,103
0,183000;0,0455;-0,0657;0,0346;0,087
0,187000;0,0143;-0,0179;-0,0922;0,095
0,197000;0,0333;-0,0180;-0,1089;0,115
0,198000;0,0404;-0,0035;-0,0633;0,075
0,200000;0,0381;0,0348;0,1162;0,127
0,203000;-0,0337;0,0133;0,1184;0,124
0,208000;-0,0360;-0,0154;-0,0037;0,039
0,211000;-0,0263;-0,0035;-0,0587;0,064
0,215000;0,0453;-0,0156;-0,0778;0,091
0,219000;0,0548;-0,0323;-0,0322;0,071
0,224000;0,0547;-0,0202;0,0252;0,064
0,228000;-0,0242;0,0398;0,0324;0,057
0,231000;-0,0384;0,0207;0,0180;0,047
0,235000;-0,0431;0,0085;0,0323;0,055
0,241000;-0,0192;-0,0179;0,0227;0,035
0,244000;-0,0072;-0,0323;-0,0467;0,057
0,248000;-0,0072;-0,0130;-0,0347;0,038
0,251000;0,0403;-0,0199;-0,0320;0,055
0,255000;-0,0004;0,0348;0,0371;0,051
0,259000;-0,0145;-0,0034;0,0273;0,031
0,263000;-0,0072;-0,0058;-0,0252;0,027
0,267000;-0,0522;0,0014;-0,0416;0,067
0,272000;0,0242;0,0085;-0,0507;0,057
0,276000;0,0312;-0,0057;0,0091;0,033
0,279000;0,0165;0,0111;0,0446;0,049
0,283000;0,0473;-0,0056;0,0110;0,049
0,287000;0,0327;0,0064;0,0062;0,034
0,298000;0,0111;0,0229;-0,0556;0,061
0,298000;-0,0103;0,0203;-0,0409;0,047
0,299000;-0,0007;-0,0011;-0,0263;0,026
0,302000;0,0396;0,0155;0,0286;0,051
0,308000;-0,0107;-0,0036;0,0212;0,024
0,311000;-0,0010;-0,0509;-0,0003;0,051
0,315000;-0,0034;-0,0221;0,0163;0,028
0,319000;0,0181;-0,0124;-0,0100;0,024
0,322000;-0,0200;0,0186;-0,0194;0,033
0,326000;0,0086;-0,0148;-0,0026;0,017
0,331000;-0,0056;-0,0074;0,0046;0,010
0,334000;0,0277;-0,0097;0,0140;0,032
0,338000;0,0132;-0,0334;-0,0027;0,036
0,342000;-0,0059;0,0071;0,0163;0,019
0,346000;-0,0106;-0,0240;-0,0314;0,041
0,350000;-0,0105;0,0261;0,0045;0,028
0,354000;-0,0175;0,0307;-0,0169;0,039
0,359000;-0,0268;0,0258;0,0118;0,039
0,362000;0,0089;-0,0028;0,0141;0,017
0,366000;0,0207;-0,0005;-0,0335;0,039
0,370000;0,0418;0,0067;0,0023;0,042
0,376000;-0,0298;-0,0219;-0,0167;0,041
0,378000;0,0013;0,0020;0,0214;0,022
0,382000;0,0061;0,0138;-0,0096;0,018
0,385000;-0,0011;0,0042;0,0047;0,006
0,391000;0,0132;0,0137;-0,0048;0,020
0,394000;0,0177;0,0373;0,0237;0,048
0,398000;-0,0014;-0,0081;-0,0192;0,021
0,402000;0,0271;-0,0104;-0,0001;0,029
0,406000;-0,0159;-0,0483;0,0166;0,054
0,410000;-0,0490;-0,0077;-0,0192;0,053
0,414000;0,0346;-0,0100;-0,0072;0,037
0,417000;-0,0132;-0,0146;0,0237;0,031
0,422000;0,0083;0,0045;0,0093;0,013
0,431000;0,0106;-0,0241;-0,0169;0,031
0,431000;-0,0061;0,0141;0,0212;0,026
0,434000;-0,0156;-0,0050;0,0234;0,029
0,438000;-0,0415;-0,0145;0,0019;0,044
0,441000;0,0039;0,0521;-0,0077;0,053
0,445000;-0,0317;-0,0029;-0,0052;0,032
0,450000;-0,0124;-0,0195;0,0494;0,055
0,453000;-0,0147;-0,0098;-0,0364;0,040
0,458000;-0,0026;0,0117;-0,0029;0,012
0,461000;0,0046;-0,0193;0,0138;0,024
0,465000;-0,0286;-0,0024;0,0208;0,035
0,469000;0,0238;0,0167;0,0040;0,029
0,475000;0,0022;0,0094;0,0040;0,010
0,478000;0,0022;-0,0074;0,0087;0,012
0,481000;-0,0074;0,0236;-0,0128;0,028
0,485000;-0,0358;0,0044;-0,0198;0,041
0,489000;0,0191;0,0210;-0,0030;0,029
0,493000;0,0214;-0,0124;0,0065;0,026
0,497000;-0,0191;0,0091;0,0207;0,030
0,501000;-0,0190;-0,0195;0,0348;0,044
0,505000;-0,0093;-0,0217;0,0013;0,024
0,509000;-0,0140;0,0023;-0,0225;0,027
0,513000;0,0289;0,0023;-0,0176;0,034
0,517000;0,0216;0,0070;0,0040;0,023
0,521000;-0,0356;0,0093;-0,0174;0,041
0,525000;0,0454;-0,0145;-0,0197;0,052
0,529000;0,0165;-0,0143;0,0327;0,039
0,533000;0,0140;0,0025;-0,0126;0,019
0,537000;-0,0217;0,0096;0,0207;0,031
0,548000;0,0118;0,0072;-0,0079;0,016
0,549000;0,0022;0,0262;0,0159;0,031
0,549000;-0,0026;0,0070;-0,0032;0,008
0,552000;0,0070;-0,0024;0,0253;0,026
0,558000;0,0164;0,0024;0,0037;0,017
0,561000;-0,0169;0,0452;-0,0105;0,049
0,564000;-0,0166;-0,0359;0,0228;0,046
0,569000;-0,0094;0,0070;0,0012;0,012
0,572000;-0,0331;-0,0096;-0,0036;0,035
0,576000;-0,0304;-0,0238;0,0012;0,039
0,580000;-0,0064;0,0310;0,0083;0,033
0,585000;0,0055;-0,0192;0,0273;0,034
0,588000;-0,0159;0,0024;0,0365;0,040
0,592000;0,0080;0,0143;-0,0231;0,028
0,596000;0,0056;-0,0072;0,0151;0,018
0,600000;-0,0420;0,0142;0,0126;0,046
0,604000;0,0035;0,0093;0,0386;0,040
0,608000;0,0106;0,0021;-0,0140;0,018
0,612000;0,0271;0,0283;-0,0281;0,048
0,616000;-0,0277;-0,0289;-0,0041;0,040
0,620000;-0,0108;0,0140;-0,0136;0,022
0,624000;0,0154;-0,0003;-0,0135;0,020
0,628000;-0,0038;0,0257;-0,0300;0,040
0,632000;-0,0085;-0,0007;0,0035;0,009
0,636000;0,0249;0,0160;0,0035;0,030
0,640000;-0,0228;-0,0079;-0,0179;0,030
0,644000;0,0247;0,0134;0,0344;0,044
0,648000;0,0127;-0,0294;-0,0228;0,039
0,651000;0,0173;0,0042;0,0082;0,020
0,656000;0,0053;-0,0029;0,0343;0,035
0,665000;-0,0162;-0,0457;0,0221;0,053
0,666000;0,0243;-0,0075;-0,0018;0,025
0,667000;0,0027;-0,0168;-0,0066;0,018
0,671000;-0,0448;-0,0001;0,0410;0,061
0,675000;0,0008;0,0070;-0,0187;0,020
0,680000;0,0055;0,0141;-0,0233;0,028
0,683000;0,0149;0,0354;-0,0089;0,039
0,688000;-0,0090;-0,0148;-0,0183;0,025
0,693000;-0,0018;0,0162;0,0032;0,017
0,696000;-0,0089;-0,0053;0,0151;0,018
0,699000;-0,0230;-0,0266;-0,0373;0,051
0,703000;0,0057;0,0213;0,0248;0,033
0,709000;0,0056;-0,0027;-0,0134;0,015
0,711000;-0,0134;-0,0075;-0,0323;0,036
0,715000;0,0176;-0,0216;0,0036;0,028
0,719000;0,0389;0,0141;0,0154;0,044
0,723000;-0,0350;-0,0192;0,0224;0,046
0,727000;0,0223;-0,0071;0,0175;0,029
0,732000;0,0222;-0,0332;0,0078;0,041
0,735000;-0,0350;0,0431;-0,0255;0,061
0,738000;0,0057;0,0214;0,0246;0,033
0,743000;0,0032;0,0117;0,0149;0,019
0,747000;-0,0158;0,0330;-0,0113;0,038
0,750000;0,0294;-0,0172;0,0172;0,038
0,754000;0,0172;0,0281;-0,0090;0,034
0,759000;0,0313;0,0207;0,0053;0,038
0,763000;-0,0165;-0,0102;0,0148;0,024
0,767000;-0,0164;-0,0599;-0,0114;0,063
0,771000;0,0122;-0,0238;-0,0208;0,034
0,775000;0,0145;-0,0212;-0,0040;0,026
0,779000;0,0050;-0,0066;-0,0182;0,020
0,783000;0,0121;0,0337;-0,0157;0,039
0,787000;0,0001;-0,0236;0,0010;0,024
0,792000;-0,0166;0,0051;-0,0085;0,019
0,795000;-0,0093;-0,0235;-0,0322;0,041
0,798000;-0,0496;-0,0232;0,0132;0,056
0,803000;-0,0230;0,0149;0,0226;0,036
0,807000;-0,0253;0,0053;-0,0037;0,026
0,811000;0,0034;0,0101;-0,0013;0,011
0,815000;0,0390;-0,0090;-0,0274;0,049
0,818000;-0,0158;0,0362;-0,0058;0,040
0,822000;-0,0204;0,0122;0,0133;0,027
0,826000;-0,0036;0,0192;-0,0272;0,033
0,831000;0,0035;-0,0143;0,0158;0,022
0,834000;-0,0273;0,0096;-0,0010;0,029
0,838000;-0,0105;-0,0023;-0,0057;0,012
0,842000;0,0276;0,0096;-0,0437;0,053
0,847000;0,0012;0,0238;-0,0219;0,032
0,850000;-0,0083;-0,0026;-0,0194;0,021
0,854000;0,0060;-0,0002;-0,0169;0,018
0,859000;0,0178;-0,0073;-0,0001;0,019
0,862000;0,0034;0,0309;-0,0214;0,038
0,866000;-0,0132;0,0330;-0,0070;0,036
0,870000;-0,0249;-0,0005;0,0097;0,027
0,874000;0,0180;0,0280;0,0048;0,034
0,878000;-0,0129;-0,0244;-0,0047;0,028
0,882000;0,0275;-0,0241;0,0120;0,038
0,886000;-0,0249;0,0450;-0,0285;0,059
0,890000;0,0109;-0,0004;-0,0021;0,011
0,894000;-0,0247;0,0043;0,0193;0,032
0,898000;-0,0102;-0,0432;0,0381;0,058
0,901000;-0,0767;-0,0024;0,0212;0,080
0,905000;-0,0095;0,0215;0,0186;0,030
0,910000;0,0119;-0,0142;0,0090;0,021
0,914000;-0,0025;0,0003;0,0042;0,005
0,918000;-0,0192;0,0098;-0,0100;0,024
0,921000;0,0071;0,0002;-0,0385;0,039
0,926000;-0,0072;-0,0141;0,0070;0,017
0,931000;-0,0237;-0,0234;-0,0026;0,033
0,933000;-0,0140;-0,0541;0,0259;0,062
0,937000;0,0122;-0,0465;0,0233;0,053
0,943000;0,0002;-0,0272;-0,0338;0,043
0,946000;0,0191;0,0015;0,0424;0,047
0,949000;0,0000;0,0086;0,0017;0,009
0,953000;0,0166;0,0014;0,0207;0,027
0,957000;-0,0002;-0,0035;0,0062;0,007
0,963000;-0,0168;-0,0105;-0,0223;0,030
0,965000;-0,0001;-0,0127;-0,0055;0,014
