time,ax,ay,az
0,0.02,0.02,-0.06
0.086,-0.06,0.05,-0.04
0.177,-0.01,0.01,-0.07
0.268,-0.0,0.01,0.02
0.358,0.01,0.02,0.02
0.449,-0.07,0.02,0.05
0.539,0.1,-0.03,-0.08
0.63,-0.05,-0.05,0.1
0.72,0.03,-0.03,-0.01
0.813,0.03,0.04,-0.02
0.912,-0.03,0.01,0.03
0.992,0.04,-0.03,0.04
1.083,-0.0,0.01,-0.0
1.173,-0.01,0.03,-0.02
1.264,-0.05,0.03,0.01
1.354,-0.01,-0.0,-0.01
1.445,0.06,-0.02,0.01
1.535,-0.02,-0.02,0.04
1.627,0.01,-0.02,-0.0
1.717,-0.01,0.02,0.02
1.819,0.01,-0.01,-0.01
1.898,0.0,-0.01,0.01
1.988,0.01,0.0,0.0
2.079,0.01,0.01,-0.0
2.169,0.02,0.03,-0.0
2.26,-0.04,-0.01,-0.01
2.35,0.05,-0.0,-0.03
2.441,0.02,0.0,0.06
2.531,-0.01,-0.02,-0.0
2.623,0.0,0.01,-0.01
2.724,-0.02,0.01,0.02
2.803,0.01,-0.01,0.01
2.894,-0.01,0.01,0.01
2.984,0.0,0.01,0.01
3.075,-0.03,-0.01,-0.04
3.166,0.08,0.03,-0.04
3.256,-0.01,-0.03,0.11
3.347,0.01,-0.03,-0.01
3.437,-0.01,0.03,-0.0
3.529,-0.03,-0.02,0.03
3.626,-0.0,-0.05,0.03
3.709,0.08,-0.04,0.01
3.8,0.01,0.0,0.08
3.89,0.06,0.0,-0.1
3.981,-0.01,-0.11,0.08
4.071,0.13,-0.04,0.11
4.162,0.21,0.03,0.14
4.252,0.13,0.08,0.16
4.343,-0.17,-0.03,0.14
4.435,-0.29,-0.07,-0.12
4.534,-0.32,-0.24,-0.03
4.615,-0.14,-0.22,-0.13
4.705,-0.04,-0.36,-0.14
4.796,-0.06,-0.35,0.01
4.886,-0.13,-0.18,-0.11
4.977,0.12,-0.11,-0.25
5.067,0.23,0.13,-0.23
5.158,0.16,0.04,0.11
5.248,-0.05,0.02,0.44
5.341,-0.07,-0.08,0.34
5.441,-0.11,-0.2,0.09
5.52,-0.08,-0.15,-0.39
5.611,-0.01,0.16,-0.55
5.701,-0.07,0.04,0.37
5.792,-0.01,-0.01,0.29
5.882,-0.08,-0.03,0.26
5.973,0.09,-0.02,-0.27
6.063,0.19,-0.08,-0.22
6.154,0.21,0.11,-0.01
6.245,0.08,0.1,0.32
6.344,0.03,0.06,0.36
6.426,-0.17,-0.21,0.0
6.516,-0.14,-0.34,-0.17
6.607,-0.19,-0.07,-0.15
6.697,0.23,0.15,-0.5
6.788,-0.16,0.15,-0.08
6.878,-0.32,-0.03,0.38
6.969,-0.06,-0.08,0.03
7.059,0.22,0.14,-0.18
7.152,0.13,0.13,-0.39
7.248,0.25,0.09,-0.15
7.331,-0.04,-0.02,0.38
7.422,-0.2,-0.09,0.23
7.512,-0.1,-0.13,0.02
7.603,-0.08,-0.08,-0.2
7.693,0.13,0.12,-0.47
7.784,-0.1,0.06,0.34
7.875,-0.15,0.09,0.4
7.965,-0.11,-0.09,-0.01
8.059,0.26,0.02,-0.33
8.156,0.09,0.23,-0.32
8.237,0.31,0.03,0.1
8.327,0.08,0.02,0.26
8.418,-0.05,-0.1,0.16
8.509,-0.08,-0.14,0.11
8.599,-0.31,-0.15,-0.26
8.69,-0.04,0.1,-0.9
8.78,-0.02,0.16,0.02
8.871,0.02,-0.01,0.68
8.967,-0.11,-0.01,0.38
9.06,0.03,0.02,0.03
9.143,0.2,0.01,-0.22
9.233,0.3,0.16,0.01
9.324,0.05,0.11,-0.19
9.414,-0.02,-0.05,0.14
9.505,-0.1,-0.2,0.22
9.595,-0.17,-0.18,-0.25
9.686,-0.33,-0.1,-0.59
9.777,0.02,0.02,0.02
9.867,-0.0,0.18,0.31
9.966,-0.13,0.15,0.37
10.048,-0.04,0.01,0.05
10.139,0.2,0.09,-0.35
10.229,0.3,0.09,-0.31
10.32,0.07,0.18,-0.03
10.41,-0.04,-0.03,0.35
10.501,-0.09,-0.17,-0.16
10.591,-0.12,-0.14,-0.13
10.682,-0.21,-0.07,-0.47
10.776,0.05,-0.01,-0.26
10.874,0.01,0.2,0.32
10.954,-0.14,0.21,0.69
11.044,0.09,-0.12,0.03
11.135,0.22,-0.08,-0.41
11.225,0.27,0.14,-0.38
11.316,0.21,0.21,0.22
11.406,-0.09,0.03,0.52
11.497,-0.19,-0.22,0.07
11.588,0.02,-0.28,-0.36
11.681,-0.06,-0.09,-0.66
11.779,-0.13,0.12,0.15
11.859,-0.13,0.19,0.35
11.95,-0.2,-0.19,0.45
12.041,0.03,-0.02,-0.43
12.131,0.27,0.02,-0.18
12.221,0.04,0.23,-0.38
12.312,0.1,0.25,0.16
12.403,0.04,0.09,0.49
12.493,0.06,-0.11,0.09
12.587,0.04,-0.09,0.05
12.684,0.02,-0.08,-0.25
12.765,-0.03,0.05,0.03
12.855,-0.05,0.14,0.13
12.946,-0.06,-0.08,0.32
13.037,-0.06,-0.11,-0.05
13.127,0.1,-0.15,-0.33
13.218,-0.01,0.24,-0.33
13.308,0.01,0.15,0.11
13.399,0.01,-0.08,0.39
13.493,-0.0,-0.14,-0.01
13.592,0.01,-0.13,-0.01
13.671,-0.1,-0.05,-0.01
13.761,-0.06,0.1,-0.06
13.852,0.02,0.13,0.03
13.942,-0.05,0.0,0.26
14.037,0.03,-0.01,-0.21
14.123,0.08,-0.05,-0.16
14.214,-0.12,0.13,-0.11
14.304,-0.02,0.12,0.04
14.399,0.04,-0.04,0.23
14.496,0.03,-0.14,0.17
14.576,-0.03,-0.2,0.09
14.667,-0.07,-0.03,-0.14
14.757,-0.12,0.15,-0.35
14.848,-0.01,0.18,0.01
14.938,0.01,-0.06,0.46
15.029,0.02,-0.16,0.17
15.119,0.26,-0.08,-0.29
15.21,0.01,0.09,-0.3
15.302,0.2,0.04,-0.09
15.403,-0.04,0.04,0.31
15.482,-0.08,-0.13,0.21
15.572,0.02,-0.18,-0.05
15.663,-0.1,-0.05,-0.24
15.753,-0.16,0.16,-0.28
15.844,0.04,0.24,-0.17
15.934,-0.01,0.02,0.39
16.025,-0.07,-0.04,0.15
16.115,0.02,0.1,-0.23
16.208,-0.05,0.15,-0.34
16.311,0.15,0.06,0.06
16.387,0.08,0.03,0.11
16.478,0.07,-0.21,0.25
16.568,0.12,-0.17,0.01
16.659,-0.01,0.04,-0.22
16.749,-0.05,0.09,-0.23
16.84,-0.05,0.09,0.0
16.931,-0.08,-0.0,0.19
17.021,-0.04,-0.13,0.15
17.114,0.03,-0.06,-0.08
17.214,0.06,0.01,0.01
17.293,0.03,0.28,-0.31
17.383,-0.07,0.15,0.09
17.474,-0.03,-0.15,0.33
17.565,0.05,-0.24,-0.07
17.655,0.11,-0.13,-0.15
17.745,-0.01,0.05,-0.42
17.836,-0.03,0.08,0.06
17.927,0.0,0.06,0.26
18.022,-0.0,-0.06,0.27
18.117,-0.01,-0.08,-0.03
18.199,0.1,0.08,-0.35
18.289,0.0,0.08,-0.06
18.38,0.04,0.11,0.08
18.47,-0.07,0.02,0.22
18.561,-0.01,-0.13,0.08
18.651,-0.05,-0.03,-0.04
18.742,-0.03,-0.0,0.05
18.832,-0.04,0.03,-0.02
18.925,0.05,0.11,-0.0
19.022,-0.06,-0.04,0.34
19.104,-0.02,-0.15,-0.02
19.195,0.1,0.08,-0.42
19.285,-0.02,0.18,-0.33
19.376,0.07,0.21,-0.05
19.466,0.01,0.0,0.35
19.557,-0.02,-0.12,0.19
19.647,0.09,-0.15,-0.0
19.738,0.18,0.09,-0.2
19.834,-0.04,-0.03,-0.15
19.928,-0.09,0.1,-0.01
20.01,-0.06,-0.04,0.35
20.1,-0.07,-0.19,0.19
20.191,-0.08,-0.07,0.02
20.281,-0.06,0.05,-0.35
20.372,0.1,0.35,-0.39
20.462,0.18,0.25,-0.13
20.553,0.05,-0.05,0.45
20.643,-0.07,0.03,0.2
20.74,-0.37,0.36,-0.16
20.833,-0.09,0.52,-1.01
20.915,0.1,0.3,0.23
21.006,0.07,0.27,0.28
21.096,-0.01,0.17,-0.06
21.187,0.12,0.28,-0.43
21.278,0.11,0.05,-0.05
21.368,-0.01,0.03,-0.02
21.459,0.02,0.07,-0.07
21.551,-0.05,0.04,-0.12
21.642,-0.03,-0.01,-0.07
21.743,-0.03,0.01,-0.01
21.821,-0.01,0.06,0.01
21.911,-0.02,0.02,0.05
22.002,0.01,-0.06,-0.02
22.093,-0.07,-0.02,0.03
22.183,-0.06,-0.01,0.01
22.274,-0.01,0.06,-0.03
22.364,-0.0,0.03,0.06
22.455,-0.01,0.01,0.02
22.551,0.01,0.01,-0.09
22.645,-0.02,-0.05,0.04
22.726,-0.01,-0.0,0.0
22.817,0.01,0.03,0.02
22.907,-0.02,0.01,0.02
22.998,0.02,-0.01,-0.06
23.089,-0.01,-0.04,0.05
23.179,-0.0,0.03,-0.03
23.27,-0.0,0.03,0.05
23.36,0.0,0.01,0.0
23.453,0.01,-0.01,-0.03
23.551,-0.04,-0.02,0.06
23.632,-0.0,0.01,0.0
23.723,0.03,0.01,-0.0
23.813,0.01,0.03,-0.01
23.904,0.03,-0.06,0.29
