time,ax,ay,az
2019-04-04 17:4:17.9520,0.01,0.02,0.11
2019-04-04 17:4:17.9880,-0.0,0.02,0.01
2019-04-04 17:4:18.0790,0.01,0.01,-0.08
2019-04-04 17:4:18.1700,0.02,-0.01,0.03
2019-04-04 17:4:18.2660,-0.01,0.01,0.03
2019-04-04 17:4:18.3560,0.02,0.01,0.0
2019-04-04 17:4:18.4540,0.01,0.01,-0.0
2019-04-04 17:4:18.5320,0.0,-0.01,0.02
2019-04-04 17:4:18.6230,-0.01,-0.01,0.01
2019-04-04 17:4:18.7130,-0.0,-0.01,0.03
2019-04-04 17:4:18.8030,0.02,0.01,0.01
2019-04-04 17:4:18.8940,0.0,0.01,-0.04
2019-04-04 17:4:18.9850,-0.01,0.01,0.01
2019-04-04 17:4:19.0760,-0.02,-0.0,-0.0
2019-04-04 17:4:19.1680,-0.0,-0.0,-0.0
2019-04-04 17:4:19.2620,0.01,-0.0,0.03
2019-04-04 17:4:19.3630,0.03,0.02,-0.0
2019-04-04 17:4:19.4380,0.01,0.01,-0.01
2019-04-04 17:4:19.5280,-0.0,0.01,-0.02
2019-04-04 17:4:19.6180,-0.01,-0.0,0.01
2019-04-04 17:4:19.7090,-0.02,-0.02,0.03
2019-04-04 17:4:19.8000,0.0,0.01,0.01
2019-04-04 17:4:19.8900,0.01,0.02,-0.03
2019-04-04 17:4:19.9810,0.0,0.0,0.0
2019-04-04 17:4:20.0740,-0.0,-0.0,0.02
2019-04-04 17:4:20.1630,0.01,0.0,0.01
2019-04-04 17:4:20.2660,0.0,0.01,-0.05
2019-04-04 17:4:20.3430,0.0,0.0,0.03
2019-04-04 17:4:20.4340,0.01,0.0,0.01
2019-04-04 17:4:20.5240,-0.0,0.01,-0.02
2019-04-04 17:4:20.6150,-0.02,-0.0,-0.01
2019-04-04 17:4:20.7050,-0.01,-0.01,-0.0
2019-04-04 17:4:20.7960,-0.0,-0.01,0.0
2019-04-04 17:4:20.8860,-0.0,0.0,0.01
2019-04-04 17:4:20.9830,0.01,0.01,0.02
2019-04-04 17:4:21.0730,0.0,0.01,0.02
2019-04-04 17:4:21.1720,-0.0,0.01,-0.01
2019-04-04 17:4:21.2490,-0.0,0.0,-0.03
2019-04-04 17:4:21.3390,0.01,0.01,0.02
2019-04-04 17:4:21.4300,0.01,0.01,0.02
2019-04-04 17:4:21.5200,-0.0,0.01,-0.0
2019-04-04 17:4:21.6110,-0.0,0.0,0.0
2019-04-04 17:4:21.7010,-0.01,-0.0,-0.01
2019-04-04 17:4:21.7920,-0.0,-0.01,-0.01
2019-04-04 17:4:21.8890,0.01,0.0,-0.01
2019-04-04 17:4:21.9790,0.01,-0.0,0.05
2019-04-04 17:4:22.0780,-0.01,-0.01,0.02
2019-04-04 17:4:22.1540,-0.02,-0.0,0.02
2019-04-04 17:4:22.2450,-0.01,-0.02,0.02
2019-04-04 17:4:22.3350,0.0,0.0,-0.04
2019-04-04 17:4:22.4260,0.01,-0.01,0.01
2019-04-04 17:4:22.5160,-0.0,0.0,0.04
2019-04-04 17:4:22.6070,-0.03,-0.03,0.07
2019-04-04 17:4:22.6970,-0.03,-0.05,0.05
2019-04-04 17:4:22.7940,0.03,-0.09,0.08
2019-04-04 17:4:22.8840,0.11,-0.18,0.21
2019-04-04 17:4:22.9830,0.11,-0.18,0.08
2019-04-04 17:4:23.0600,-0.02,-0.1,0.03
2019-04-04 17:4:23.1500,-0.06,-0.11,0.13
2019-04-04 17:4:23.2410,0.05,-0.21,0.08
2019-04-04 17:4:23.3310,0.01,-0.16,-0.28
2019-04-04 17:4:23.4220,-0.06,-0.08,-0.1
2019-04-04 17:4:23.5120,-0.02,0.17,0.1
2019-04-04 17:4:23.6030,-0.02,0.01,0.1
2019-04-04 17:4:23.6980,-0.09,0.05,0.22
2019-04-04 17:4:23.7910,-0.08,-0.02,0.17
2019-04-04 17:4:23.8900,-0.02,-0.25,-0.23
2019-04-04 17:4:23.9650,0.07,-0.21,-0.39
2019-04-04 17:4:24.0560,0.07,0.09,0.13
2019-04-04 17:4:24.1460,-0.01,0.09,0.1
2019-04-04 17:4:24.2370,-0.05,0.1,0.23
2019-04-04 17:4:24.3270,0.02,0.04,0.23
2019-04-04 17:4:24.4180,0.06,-0.14,-0.03
2019-04-04 17:4:24.5080,0.17,-0.12,-0.33
2019-04-04 17:4:24.6030,0.03,0.21,-0.38
2019-04-04 17:4:24.7000,-0.08,-0.02,0.15
2019-04-04 17:4:24.7910,-0.05,0.15,0.25
2019-04-04 17:4:24.8710,0.0,0.03,0.21
2019-04-04 17:4:24.9610,0.02,-0.15,-0.09
2019-04-04 17:4:25.0520,0.19,-0.25,-0.25
2019-04-04 17:4:25.1420,0.16,0.13,-0.27
2019-04-04 17:4:25.2330,-0.03,0.02,0.19
2019-04-04 17:4:25.3240,-0.11,0.17,0.2
2019-04-04 17:4:25.4140,-0.04,0.07,0.27
2019-04-04 17:4:25.5090,0.1,-0.09,-0.01
2019-04-04 17:4:25.6010,0.14,-0.15,-0.33
2019-04-04 17:4:25.7010,0.0,0.21,-0.44
2019-04-04 17:4:25.7760,-0.1,0.03,0.04
2019-04-04 17:4:25.8670,-0.09,0.21,0.3
2019-04-04 17:4:25.9570,0.01,0.02,0.34
2019-04-04 17:4:26.0480,-0.01,-0.22,0.0
2019-04-04 17:4:26.1390,0.13,-0.27,-0.46
2019-04-04 17:4:26.2290,0.13,0.16,-0.37
2019-04-04 17:4:26.3200,0.05,0.02,0.16
2019-04-04 17:4:26.4150,-0.09,0.22,0.18
2019-04-04 17:4:26.5040,-0.05,0.1,0.22
2019-04-04 17:4:26.6070,0.1,-0.06,0.17
2019-04-04 17:4:26.6820,0.03,-0.16,-0.44
2019-04-04 17:4:26.7720,0.03,0.09,-0.41
2019-04-04 17:4:26.8630,-0.04,-0.03,0.0
2019-04-04 17:4:26.9540,-0.12,0.21,0.25
2019-04-04 17:4:27.0440,-0.03,0.08,0.26
2019-04-04 17:4:27.1350,0.02,-0.17,-0.01
2019-04-04 17:4:27.2250,0.08,-0.17,-0.35
2019-04-04 17:4:27.3230,0.04,0.12,-0.36
2019-04-04 17:4:27.4140,0.05,-0.02,0.04
2019-04-04 17:4:27.5120,-0.09,0.2,0.15
2019-04-04 17:4:27.5870,-0.05,0.21,0.33
2019-04-04 17:4:27.6780,0.13,-0.02,0.26
2019-04-04 17:4:27.7690,0.08,-0.37,-0.36
2019-04-04 17:4:27.8590,-0.0,0.2,-0.61
2019-04-04 17:4:27.9500,-0.03,0.01,0.08
2019-04-04 17:4:28.0400,-0.15,0.2,0.29
2019-04-04 17:4:28.1310,-0.04,0.16,0.41
2019-04-04 17:4:28.2240,0.04,-0.1,0.14
2019-04-04 17:4:28.3200,0.04,-0.28,-0.41
2019-04-04 17:4:28.4190,0.05,0.05,-0.49
2019-04-04 17:4:28.4930,0.02,0.02,0.13
2019-04-04 17:4:28.5840,-0.11,0.22,0.19
2019-04-04 17:4:28.6740,-0.01,0.12,0.35
2019-04-04 17:4:28.7650,0.15,-0.06,0.09
2019-04-04 17:4:28.8550,0.02,-0.15,-0.3
2019-04-04 17:4:28.9460,-0.07,0.09,-0.62
2019-04-04 17:4:29.0360,-0.17,0.0,0.08
2019-04-04 17:4:29.1330,-0.16,0.23,0.32
2019-04-04 17:4:29.2250,0.02,0.05,0.35
2019-04-04 17:4:29.3230,0.05,-0.13,-0.04
2019-04-04 17:4:29.3990,0.19,-0.25,-0.36
2019-04-04 17:4:29.4890,0.14,0.07,-0.34
2019-04-04 17:4:29.5800,-0.01,0.06,0.15
2019-04-04 17:4:29.6700,-0.08,0.22,0.19
2019-04-04 17:4:29.7610,-0.01,0.12,0.22
2019-04-04 17:4:29.8510,0.02,-0.09,0.04
2019-04-04 17:4:29.9420,0.09,-0.14,-0.28
2019-04-04 17:4:30.0390,-0.05,0.14,-0.43
2019-04-04 17:4:30.1290,-0.2,-0.03,0.09
2019-04-04 17:4:30.2290,-0.16,0.23,0.34
2019-04-04 17:4:30.3040,-0.01,0.13,0.34
2019-04-04 17:4:30.3950,0.01,-0.21,-0.08
2019-04-04 17:4:30.4850,0.15,-0.24,-0.4
2019-04-04 17:4:30.5760,-0.04,0.03,-0.31
2019-04-04 17:4:30.6660,0.08,0.07,0.05
2019-04-04 17:4:30.7570,0.01,0.24,0.17
2019-04-04 17:4:30.8480,0.03,0.14,0.22
2019-04-04 17:4:30.9440,0.02,-0.07,0.16
2019-04-04 17:4:31.0330,0.13,-0.18,-0.17
2019-04-04 17:4:31.1370,-0.15,0.08,-0.58
2019-04-04 17:4:31.2100,0.04,0.02,0.07
2019-04-04 17:4:31.3000,-0.07,0.23,0.26
2019-04-04 17:4:31.3910,0.01,0.12,0.34
2019-04-04 17:4:31.4810,0.0,-0.11,0.0
2019-04-04 17:4:31.5720,0.13,-0.22,-0.18
2019-04-04 17:4:31.6630,0.02,-0.08,-0.52
2019-04-04 17:4:31.7530,0.12,0.14,-0.19
2019-04-04 17:4:31.8470,-0.16,0.21,0.21
2019-04-04 17:4:31.9410,-0.08,0.26,0.32
2019-04-04 17:4:32.0420,0.05,0.04,0.17
2019-04-04 17:4:32.1150,0.05,-0.19,-0.12
2019-04-04 17:4:32.2060,-0.22,-0.05,-0.53
2019-04-04 17:4:32.2960,-0.11,0.04,0.01
2019-04-04 17:4:32.3870,-0.16,0.17,0.09
2019-04-04 17:4:32.4780,-0.03,0.19,0.33
2019-04-04 17:4:32.5680,0.04,-0.01,0.16
2019-04-04 17:4:32.6590,0.05,-0.2,-0.12
2019-04-04 17:4:32.7530,0.2,-0.23,-0.3
2019-04-04 17:4:32.8480,0.09,0.0,-0.18
2019-04-04 17:4:32.9450,-0.08,0.21,0.16
2019-04-04 17:4:33.0210,-0.07,0.23,0.36
2019-04-04 17:4:33.1120,0.0,0.08,0.18
2019-04-04 17:4:33.2020,-0.06,-0.12,-0.08
2019-04-04 17:4:33.2920,-0.03,-0.16,-0.26
2019-04-04 17:4:33.3830,0.02,0.12,-0.36
2019-04-04 17:4:33.4740,-0.16,0.11,0.19
2019-04-04 17:4:33.5640,-0.1,0.18,0.35
