time;gFx;gFy;gFz;TgF
0,002000;-0,0371;0,0875;0,9430;0,948
0,002000;-0,0679;0,0806;0,9929;0,998
0,014000;-0,0923;0,0787;1,0427;1,050
0,022000;-0,0967;0,0806;1,0994;1,107
0,032000;-0,0948;0,0777;1,0886;1,096
0,042000;-0,0860;0,0757;1,0412;1,048
0,052000;-0,0723;0,0796;1,0065;1,012
0,062000;-0,0567;0,0938;0,9601;0,966
0,073000;-0,0498;0,1065;0,9157;0,923
0,082000;-0,0430;0,1085;0,8946;0,902
0,092000;-0,0322;0,1046;0,8800;0,887
0,102000;-0,0415;0,0987;0,8771;0,884
0,112000;-0,0537;0,1036;0,9342;0,941
0,123000;-0,0728;0,0899;0,9709;0,978
0,132000;-0,0831;0,0762;1,0026;1,009
0,142000;-0,0865;0,0723;1,0212;1,027
0,152000;-0,0855;0,0767;0,9982;1,005
0,162000;-0,0855;0,0806;0,9635;0,971
0,172000;-0,0772;0,0840;0,9406;0,947
0,182000;-0,0660;0,0943;0,9425;0,950
0,192000;-0,0542;0,0953;0,9460;0,952
0,202000;-0,0577;0,0850;0,9523;0,958
0,212000;-0,0567;0,0743;0,9621;0,967
0,222000;-0,0601;0,0738;0,9758;0,980
0,232000;-0,0601;0,0723;0,9675;0,972
0,242000;-0,0640;0,0704;0,9792;0,984
0,252000;-0,0699;0,0650;0,9870;0,992
0,262000;-0,0767;0,0713;0,9963;1,002
0,273000;-0,0762;0,0689;1,0007;1,006
0,282000;-0,0708;0,0738;1,0139;1,019
0,293000;-0,0591;0,0743;0,9885;0,993
0,302000;-0,0479;0,0723;0,9704;0,974
0,312000;-0,0493;0,0752;0,9738;0,978
0,322000;-0,0493;0,0836;0,9831;0,988
0,332000;-0,0616;0,0777;0,9694;0,974
0,342000;-0,0660;0,0782;0,9733;0,979
0,352000;-0,0665;0,0718;0,9709;0,976
0,363000;-0,0762;0,0684;0,9684;0,974
0,373000;-0,0669;0,0689;0,9885;0,993
0,383000;-0,0635;0,0655;1,0070;1,011
0,392000;-0,0669;0,0572;0,9948;0,999
0,402000;-0,0635;0,0596;0,9831;0,987
0,412000;-0,0552;0,0674;0,9699;0,974
0,423000;-0,0474;0,0718;0,9587;0,963
0,432000;-0,0386;0,0757;0,9528;0,957
0,442000;-0,0469;0,0752;0,9543;0,958
0,452000;-0,0489;0,0767;0,9494;0,954
0,463000;-0,0459;0,0777;0,9552;0,959
0,472000;-0,0493;0,0772;0,9631;0,967
0,483000;-0,0542;0,0723;0,9772;0,981
0,493000;-0,0699;0,0655;0,9826;0,987
0,503000;-0,0713;0,0621;0,9890;0,993
0,513000;-0,0796;0,0523;0,9904;0,995
0,523000;-0,0811;0,0493;0,9953;1,000
0,537000;-0,0655;0,0518;1,0109;1,014
0,543000;-0,0650;0,0537;1,0017;1,005
0,552000;-0,0621;0,0645;0,9890;0,993
0,565000;-0,0513;0,0757;0,9821;0,986
0,573000;-0,0474;0,0845;0,9655;0,970
0,583000;-0,0450;0,0889;0,9450;0,950
0,593000;-0,0435;0,0831;0,9396;0,944
0,603000;-0,0415;0,0894;0,9557;0,961
0,613000;-0,0552;0,0801;0,9831;0,988
0,624000;-0,0635;0,0728;1,0100;1,015
0,637000;-0,0581;0,0704;1,0129;1,017
0,643000;-0,0537;0,0689;1,0178;1,022
0,653000;-0,0464;0,0640;1,0046;1,008
0,664000;-0,0513;0,0669;1,0090;1,013
0,673000;-0,0518;0,0762;1,0031;1,007
0,683000;-0,0508;0,0704;0,9753;0,979
0,693000;-0,0454;0,0723;0,9547;0,959
0,703000;-0,0445;0,0772;0,9557;0,960
0,713000;-0,0479;0,0796;0,9738;0,978
0,723000;-0,0591;0,0826;0,9992;1,004
0,737000;-0,0552;0,0762;1,0100;1,014
0,743000;-0,0406;0,0757;1,0007;1,004
0,753000;-0,0327;0,0777;0,9836;0,987
