time;ax;ay;az;aT
0,487000;0,0410;-0,0082;-0,0332;0,053
0,498000;0,0051;-0,0034;0,0075;0,010
0,498000;0,0122;-0,0200;-0,0163;0,029
0,499000;-0,0282;-0,0007;-0,0090;0,030
0,503000;-0,0160;-0,0363;0,0219;0,045
0,508000;-0,0349;0,0115;0,0027;0,037
0,511000;0,0365;0,0041;-0,0092;0,038
0,515000;0,0101;0,0016;-0,0305;0,032
0,519000;-0,0257;0,0300;-0,0303;0,050
0,523000;0,0387;-0,0105;-0,0157;0,043
0,527000;0,0288;-0,0057;-0,0038;0,030
0,531000;0,0072;-0,0199;-0,0037;0,022
0,535000;-0,0142;-0,0031;-0,0013;0,015
0,539000;0,0026;0,0183;0,0106;0,021
0,543000;-0,0378;0,0159;-0,0061;0,041
0,546000;0,0124;0,0134;-0,0251;0,031
0,551000;-0,0044;-0,0009;0,0132;0,014
0,555000;-0,0472;0,0418;-0,0202;0,066
0,559000;0,0053;-0,0179;-0,0461;0,050
0,563000;0,0265;0,0036;0,0397;0,048
0,566000;0,0049;-0,0059;-0,0081;0,011
0,570000;0,0025;-0,0368;-0,0033;0,037
0,575000;0,0072;-0,0271;0,0395;0,048
0,578000;0,0001;-0,0126;-0,0012;0,013
0,582000;0,0381;-0,0054;-0,0321;0,050
0,586000;0,0188;0,0303;0,0062;0,036
0,591000;0,0257;0,0206;-0,0485;0,059
0,594000;0,0159;-0,0343;-0,0339;0,051
0,599000;0,0181;-0,0317;0,0020;0,037
0,602000;0,0464;-0,0171;0,0258;0,056
0,606000;0,0009;-0,0218;-0,0243;0,033
0,610000;0,0459;-0,0003;-0,0241;0,052
0,614000;-0,0233;-0,0002;-0,0358;0,043
0,618000;0,0101;0,0071;-0,0331;0,035
0,622000;-0,0042;-0,0072;-0,0185;0,020
0,626000;-0,0090;-0,0072;0,0267;0,029
0,630000;-0,0231;0,0237;0,0051;0,033
0,634000;-0,0063;-0,0002;0,0098;0,012
0,638000;-0,0181;-0,0311;-0,0045;0,036
0,642000;0,0248;0,0023;0,0098;0,027
0,646000;0,0151;0,0284;-0,0164;0,036
0,650000;-0,0017;-0,0144;0,0217;0,026
0,654000;0,0007;-0,0167;-0,0473;0,050
0,658000;-0,0087;-0,0166;-0,0232;0,030
0,662000;-0,0205;-0,0117;0,0007;0,024
0,666000;-0,0513;0,0050;0,0221;0,056
0,669000;0,0085;0,0003;-0,0232;0,025
0,674000;-0,0320;0,0050;-0,0372;0,049
0,678000;0,0134;-0,0212;-0,0298;0,039
0,682000;0,0061;0,0051;-0,0201;0,022
0,685000;0,0061;-0,0115;0,0062;0,014
0,689000;0,0061;0,0243;-0,0318;0,040
0,694000;-0,0011;0,0146;0,0041;0,015
0,698000;-0,0082;-0,0163;0,0278;0,033
0,701000;-0,0153;-0,0067;0,0157;0,023
0,705000;-0,0104;-0,0209;0,0393;0,046
0,709000;0,0348;-0,0112;-0,0227;0,043
0,713000;-0,0225;-0,0041;-0,0653;0,069
0,717000;0,0204;0,0102;-0,0149;0,027
0,721000;0,0177;-0,0089;-0,0029;0,020
0,725000;0,0294;-0,0325;0,0138;0,046
0,731000;-0,0088;-0,0179;-0,0006;0,020
0,733000;-0,0064;0,0012;-0,0077;0,010
0,737000;0,0080;-0,0225;-0,0148;0,028
0,749000;-0,0158;0,0227;0,0138;0,031
0,749000;0,0009;0,0059;-0,0100;0,012
0,749000;-0,0086;0,0034;-0,0076;0,012
0,753000;-0,0062;-0,0180;-0,0099;0,021
0,757000;0,0128;0,0011;-0,0312;0,034
0,761000;0,0103;0,0178;-0,0119;0,024
0,765000;0,0032;-0,0228;-0,0213;0,031
0,769000;-0,0230;-0,0202;0,0097;0,032
0,773000;-0,0180;0,0132;-0,0165;0,028
0,776000;-0,0416;0,0273;-0,0258;0,056
0,781000;-0,0032;-0,0014;-0,0019;0,004
0,785000;-0,0222;0,0224;-0,0066;0,032
0,788000;-0,0220;0,0199;0,0006;0,030
0,793000;0,0707;-0,0064;0,0053;0,071
0,797000;-0,0035;0,0009;0,0077;0,008
0,801000;0,0250;0,0105;0,0005;0,027
0,804000;0,0105;0,0009;0,0029;0,011
0,809000;-0,0086;0,0056;-0,0138;0,017
0,812000;0,0176;-0,0157;-0,0018;0,024
0,816000;-0,0182;0,0034;0,0006;0,019
0,820000;-0,0157;0,0509;-0,0089;0,054
0,825000;0,0295;0,0362;0,0007;0,047
0,828000;0,0103;0,0074;-0,0136;0,019
0,832000;0,0030;0,0098;-0,0063;0,012
0,836000;0,0243;-0,0093;-0,0158;0,030
0,841000;-0,0186;-0,0116;-0,0038;0,022
0,844000;-0,0159;0,0099;-0,0227;0,029
0,848000;0,0198;-0,0068;-0,0035;0,021
0,852000;-0,0136;-0,0187;-0,0106;0,025
0,856000;0,0339;0,0100;-0,0082;0,036
0,860000;0,0100;0,0243;-0,0271;0,038
0,864000;0,0028;0,0100;0,0230;0,025
0,868000;0,0241;0,0313;-0,0033;0,040
0,872000;-0,0164;0,0238;-0,0104;0,031
0,882000;0,0240;-0,0048;-0,0245;0,035
0,883000;-0,0047;-0,0427;-0,0219;0,048
0,884000;0,0286;-0,0020;0,0257;0,039
0,888000;0,0213;0,0004;-0,0125;0,025
0,893000;0,0211;-0,0210;0,0114;0,032
0,896000;-0,0099;0,0338;-0,0148;0,038
0,900000;0,0329;0,0051;0,0043;0,034
0,904000;0,0278;0,0217;0,0304;0,047
0,909000;0,0039;0,0215;0,0301;0,037
0,911000;-0,0080;0,0213;0,0156;0,028
0,916000;0,0087;0,0400;-0,0012;0,041
0,920000;0,0087;0,0040;0,0012;0,010
0,923000;0,0134;-0,0197;0,0012;0,024
0,927000;0,0276;0,0090;-0,0130;0,032
0,931000;0,0013;0,0184;0,0488;0,052
0,935000;0,0178;0,0064;0,0033;0,019
0,939000;0,0083;-0,0080;-0,0157;0,019
0,943000;-0,0037;-0,0056;0,0081;0,011
0,947000;0,0605;0,0134;-0,0299;0,069
0,951000;-0,0064;0,0158;-0,0344;0,038
0,956000;-0,0349;-0,0034;-0,0365;0,051
0,960000;-0,0037;-0,0224;0,0421;0,048
0,964000;0,0034;0,0040;0,0228;0,023
0,968000;0,0106;-0,0079;-0,0083;0,016
0,972000;-0,0156;-0,0079;-0,0177;0,025
0,988000;0,0083;0,0018;-0,0152;0,017
0,990000;-0,0108;0,0350;-0,0008;0,037
0,991000;-0,0011;0,0229;-0,0364;0,043
0,992000;0,0060;-0,0200;-0,0408;0,046
1,001000;0,0558;0,0537;0,0046;0,078
1,002000;-0,0350;-0,0275;0,0307;0,054
1,002000;-0,0394;-0,0225;0,0114;0,047
1,004000;-0,0011;0,0323;0,0042;0,033
1,008000;-0,0082;-0,0582;0,0042;0,059
1,013000;-0,0128;-0,0056;-0,0291;0,032
1,015000;-0,0198;-0,0364;-0,0075;0,042
1,019000;-0,0220;0,0351;-0,0241;0,048
1,024000;0,0256;0,0062;-0,0310;0,041
1,028000;-0,0317;-0,0388;0,0049;0,050
1,032000;0,0089;-0,0288;0,0524;0,060
1,035000;0,0207;0,0308;-0,0383;0,053
1,039000;0,0182;-0,0073;-0,0023;0,020
1,044000;-0,0223;0,0189;0,0143;0,033
1,047000;0,0444;-0,0167;-0,0119;0,049
1,051000;-0,0010;0,0096;-0,0070;0,012
1,055000;0,0037;-0,0072;-0,0355;0,036
1,060000;-0,0272;0,0095;-0,0209;0,036
1,063000;-0,0033;-0,0120;0,0030;0,013
1,068000;-0,0032;0,0215;0,0172;0,028
1,071000;-0,0150;-0,0310;-0,0114;0,036
1,077000;0,0207;-0,0071;-0,0398;0,045
1,080000;-0,0269;0,0357;-0,0015;0,045
1,083000;-0,0077;0,0069;-0,0276;0,030
1,087000;-0,0077;-0,0216;0,0177;0,029
1,091000;-0,0194;0,0190;0,0105;0,029
1,095000;0,0234;-0,0168;-0,0086;0,030
1,100000;0,0114;0,0310;-0,0061;0,034
1,103000;-0,0291;-0,0024;0,0082;0,030
1,107000;-0,0145;-0,0024;-0,0180;0,023
1,115000;0,0261;0,0261;-0,0131;0,039
1,116000;-0,0050;0,0021;0,0249;0,026
1,119000;0,0211;0,0020;-0,0441;0,049
1,123000;-0,0076;0,0399;0,0061;0,041
1,127000;0,0209;0,0135;-0,0034;0,025
1,131000;-0,0244;-0,0079;-0,0343;0,043
1,135000;-0,0172;-0,0007;0,0135;0,022
1,138000;-0,0028;0,0017;0,0229;0,023
1,144000;-0,0075;-0,0007;-0,0177;0,019
1,147000;-0,0075;-0,0103;-0,0056;0,014
1,151000;0,0068;0,0065;-0,0127;0,016
1,155000;0,0234;-0,0316;0,0111;0,041
1,159000;0,0066;-0,0147;0,0039;0,017
1,162000;-0,0054;0,0092;0,0134;0,017
1,166000;-0,0576;0,0020;0,0085;0,058
1,170000;0,0022;-0,0147;-0,0224;0,027
1,174000;0,0164;-0,0098;-0,0056;0,020
1,178000;-0,0242;-0,0027;-0,0127;0,027
1,182000;0,0258;-0,0313;-0,0102;0,042
1,186000;-0,0005;0,0355;-0,0481;0,060
1,189000;-0,0147;-0,0383;-0,0430;0,059
1,198000;0,0116;0,0213;0,0049;0,025
1,199000;0,0139;0,0069;0,0428;0,046
1,201000;-0,0242;0,0305;-0,0145;0,042
1,206000;0,0186;-0,0077;0,0165;0,026
1,211000;-0,0266;0,0184;-0,0193;0,038
1,213000;-0,0383;0,0372;-0,0286;0,061
1,217000;0,0118;0,0060;0,0120;0,018
1,221000;-0,0525;-0,0107;-0,0285;0,061
1,227000;-0,0069;-0,0272;-0,0164;0,032
1,229000;0,0145;-0,0009;0,0193;0,024
1,233000;-0,0094;-0,0247;0,0097;0,028
1,237000;0,0120;-0,0317;0,0120;0,036
1,241000;0,0191;0,0066;0,0142;0,025
1,245000;0,0166;0,0113;0,0189;0,028
1,249000;0,0165;-0,0315;0,0021;0,036
1,253000;-0,0169;-0,0265;0,0187;0,037
1,257000;-0,0025;-0,0168;0,0162;0,023
1,261000;-0,0049;0,0024;0,0113;0,013
1,265000;-0,0310;0,0119;-0,0125;0,036
1,269000;0,0120;0,0023;0,0279;0,030
1,273000;0,0000;-0,0262;0,0087;0,028
1,277000;0,0096;-0,0141;-0,0104;0,020
1,281000;-0,0214;-0,0116;-0,0079;0,026
1,285000;-0,0211;-0,0185;-0,0126;0,031
1,288000;-0,0067;0,0506;-0,0243;0,057
1,292000;-0,0019;0,0336;-0,0241;0,041
1,296000;-0,0042;0,0024;-0,0239;0,024
1,300000;0,0148;-0,0118;0,0000;0,019
1,305000;-0,0209;-0,0140;0,0143;0,029
1,310000;0,0054;0,0122;-0,0024;0,014
1,313000;-0,0042;-0,0022;-0,0072;0,009
1,317000;-0,0065;-0,0117;-0,0641;0,065
1,321000;0,0245;-0,0092;0,0053;0,027
1,325000;0,0242;-0,0400;-0,0043;0,047
1,329000;-0,0401;0,0197;-0,0398;0,060
1,333000;0,0030;0,0030;0,0151;0,016
1,337000;0,0030;-0,0017;0,0292;0,029
1,341000;-0,0113;0,0221;0,0243;0,035
