time;gFx;gFy;gFz;TgF
0,006000;-0,0205;0,1324;0,9572;0,967
0,006000;-0,0210;0,1383;0,9166;0,927
0,012000;-0,0039;0,1485;0,9245;0,936
0,021000;0,0039;0,1446;0,9352;0,946
0,031000;0,0015;0,1358;0,9455;0,955
0,041000;-0,0088;0,1192;0,9626;0,970
0,051000;-0,0171;0,1187;0,9904;0,998
0,061000;-0,0298;0,1251;0,9997;1,008
0,077000;-0,0420;0,1329;0,9826;0,992
0,081000;-0,0430;0,1314;0,9552;0,965
0,091000;-0,0239;0,1353;0,9577;0,967
0,101000;-0,0200;0,1363;0,9787;0,988
0,111000;-0,0259;0,1412;1,0051;1,015
0,121000;-0,0366;0,1353;1,0026;1,012
0,131000;-0,0322;0,1393;0,9865;0,997
0,141000;-0,0239;0,1456;0,9694;0,981
0,151000;-0,0200;0,1476;0,9660;0,977
0,161000;-0,0161;0,1505;0,9660;0,978
0,177000;-0,0200;0,1451;0,9523;0,964
0,181000;-0,0176;0,1378;0,9425;0,953
0,191000;-0,0151;0,1373;0,9567;0,967
0,201000;-0,0215;0,1363;0,9777;0,987
0,211000;-0,0142;0,1270;0,9963;1,004
0,221000;-0,0107;0,1241;1,0222;1,030
0,231000;-0,0181;0,1251;1,0363;1,044
0,241000;-0,0371;0,1256;1,0212;1,030
0,251000;-0,0332;0,1251;1,0075;1,016
0,261000;-0,0244;0,1266;0,9953;1,004
0,277000;-0,0186;0,1192;0,9601;0,968
0,281000;-0,0205;0,1261;0,9352;0,944
0,295000;-0,0161;0,1383;0,9313;0,942
0,302000;-0,0112;0,1437;0,9391;0,950
0,311000;-0,0137;0,1451;0,9528;0,964
0,322000;-0,0112;0,1456;0,9792;0,990
0,332000;-0,0176;0,1456;0,9953;1,006
0,342000;-0,0191;0,1373;0,9767;0,987
0,351000;-0,0147;0,1353;0,9591;0,969
0,362000;-0,0132;0,1373;0,9552;0,965
0,378000;-0,0181;0,1285;0,9474;0,956
0,382000;-0,0166;0,1295;0,9513;0,960
0,391000;-0,0220;0,1256;0,9748;0,983
0,401000;-0,0264;0,1280;0,9860;0,995
0,412000;-0,0313;0,1295;0,9885;0,997
0,421000;-0,0259;0,1300;0,9914;1,000
0,432000;-0,0230;0,1324;0,9894;0,999
0,442000;-0,0210;0,1358;0,9958;1,005
0,451000;-0,0283;0,1397;0,9890;0,999
0,461000;-0,0308;0,1353;0,9767;0,987
0,482000;-0,0210;0,1383;0,9670;0,977
0,483000;-0,0210;0,1349;0,9557;0,965
0,492000;-0,0112;0,1353;0,9386;0,948
0,502000;-0,0166;0,1388;0,9416;0,952
0,521000;-0,0064;0,1334;0,9543;0,964
0,522000;-0,0054;0,1280;0,9543;0,963
0,532000;-0,0088;0,1241;0,9538;0,962
0,544000;-0,0117;0,1319;0,9679;0,977
0,552000;-0,0161;0,1305;0,9762;0,985
0,563000;-0,0215;0,1417;0,9890;0,999
0,578000;-0,0264;0,1402;0,9953;1,005
0,582000;-0,0332;0,1339;0,9914;1,001
0,592000;-0,0235;0,1290;0,9567;0,966
0,602000;-0,0068;0,1305;0,9538;0,963
0,613000;-0,0024;0,1319;0,9572;0,966
0,623000;-0,0059;0,1383;0,9689;0,979
0,632000;-0,0156;0,1358;0,9758;0,985
0,642000;-0,0093;0,1334;0,9684;0,978
0,651000;-0,0161;0,1344;0,9655;0,975
0,661000;-0,0215;0,1334;0,9719;0,981
0,678000;-0,0205;0,1295;0,9841;0,993
0,681000;-0,0161;0,1256;0,9987;1,007
0,691000;-0,0107;0,1236;1,0051;1,013
0,702000;-0,0176;0,1251;0,9973;1,005
0,711000;-0,0283;0,1178;0,9914;0,999
0,721000;-0,0332;0,1266;0,9806;0,989
0,731000;-0,0313;0,1324;0,9748;0,984
0,741000;-0,0298;0,1363;0,9601;0,970
0,752000;-0,0244;0,1368;0,9430;0,953
0,761000;-0,0176;0,1353;0,9562;0,966
0,781000;-0,0093;0,1353;0,9753;0,985
0,782000;-0,0147;0,1383;0,9802;0,990
0,792000;-0,0200;0,1373;0,9699;0,980
0,801000;-0,0098;0,1349;0,9684;0,978
0,812000;-0,0029;0,1329;0,9811;0,990
0,822000;-0,0088;0,1314;0,9704;0,979
0,831000;-0,0244;0,1353;0,9753;0,985
0,841000;-0,0293;0,1368;0,9914;1,001
0,852000;-0,0327;0,1344;0,9933;1,003
0,861000;-0,0254;0,1363;0,9841;0,994
0,879000;-0,0239;0,1329;0,9665;0,976
0,882000;-0,0186;0,1353;0,9577;0,967
0,899000;-0,0210;0,1314;0,9557;0,965
0,901000;-0,0132;0,1339;0,9709;0,980
0,911000;-0,0083;0,1295;0,9699;0,979
0,921000;-0,0054;0,1314;0,9655;0,974
0,931000;-0,0122;0,1319;0,9650;0,974
0,941000;-0,0186;0,1339;0,9655;0,975
0,951000;-0,0039;0,1334;0,9665;0,976
0,961000;-0,0078;0,1344;0,9528;0,962
0,979000;-0,0142;0,1309;0,9289;0,938
0,981000;-0,0181;0,1309;0,9401;0,949
1,000000;-0,0151;0,1280;0,9738;0,982
1,002000;-0,0112;0,1148;0,9963;1,003
1,011000;-0,0205;0,1163;0,9963;1,003
1,022000;-0,0254;0,1266;0,9792;0,988
1,031000;-0,0249;0,1329;0,9660;0,975
1,041000;-0,0205;0,1280;0,9743;0,983
1,051000;-0,0088;0,1319;0,9890;0,998
1,061000;-0,0235;0,1280;0,9816;0,990
1,078000;-0,0283;0,1314;0,9762;0,985
1,083000;-0,0269;0,1397;0,9777;0,988
1,105000;-0,0200;0,1383;0,9709;0,981
1,106000;-0,0142;0,1446;0,9635;0,974
1,111000;-0,0215;0,1319;0,9728;0,982
1,121000;-0,0122;0,1427;0,9875;0,998
1,131000;-0,0279;0,1290;0,9943;1,003
1,141000;-0,0230;0,1246;1,0031;1,011
1,151000;-0,0171;0,1275;1,0051;1,013
1,161000;-0,0151;0,1266;0,9963;1,004
1,178000;-0,0098;0,1236;0,9860;0,994
1,181000;-0,0049;0,1246;0,9772;0,985
1,199000;-0,0049;0,1236;0,9782;0,986
1,201000;-0,0142;0,1261;0,9816;0,990
1,211000;-0,0181;0,1344;0,9831;0,992
1,221000;-0,0220;0,1363;0,9699;0,980
