time,ax,ay,az
0,0.05,0.01,0.05
0.091,0.01,-0.02,0.05
0.183,0.05,-0.05,0.06
0.272,-0.01,0.03,0.03
0.363,-0.08,0.02,-0.06
0.453,-0.04,-0.01,0.02
0.544,0.06,0.08,-0.11
0.636,0.04,0.05,0.02
0.739,0.02,-0.02,-0.05
0.815,0.06,-0.02,0.09
0.906,-0.06,-0.01,0.06
0.996,0.01,-0.06,-0.0
1.089,0.01,0.01,-0.03
1.177,-0.03,0.04,0.05
1.268,-0.07,0.01,0.04
1.359,-0.01,0.03,-0.12
1.449,0.05,-0.02,0.11
1.545,-0.06,0.0,0.02
1.643,0.03,-0.04,-0.03
1.721,0.02,0.02,-0.05
1.812,0.01,-0.0,0.06
1.902,-0.02,0.01,0.01
1.993,-0.06,0.04,-0.1
2.083,0.08,0.02,0.0
2.174,-0.03,0.0,0.12
2.264,0.0,-0.04,-0.04
2.355,0.04,-0.01,-0.04
2.45,-0.02,0.02,0.04
2.551,-0.04,0.0,0.01
2.626,-0.04,0.01,-0.07
2.717,0.09,0.0,0.01
2.808,-0.05,0.02,0.09
2.9,0.01,-0.05,0.01
2.989,0.02,-0.0,-0.05
3.079,-0.02,0.01,0.01
3.17,0.01,0.01,0.06
3.26,-0.06,0.02,-0.03
3.354,0.1,-0.02,-0.05
3.454,-0.06,-0.0,0.1
3.532,0.01,-0.04,0.01
3.623,0.01,-0.01,-0.01
3.713,-0.02,-0.01,0.02
3.805,-0.02,-0.02,-0.04
3.894,-0.1,0.07,-0.03
3.985,0.04,-0.14,-0.19
4.075,-0.11,0.05,0.13
4.166,-0.02,0.09,0.08
4.259,-0.06,0.04,0.12
4.361,-0.05,0.02,0.05
4.438,0.05,0.02,0.09
4.528,0.08,-0.14,0.13
4.619,0.08,-0.18,-0.05
4.711,-0.02,-0.24,-0.07
4.8,0.02,-0.19,0.05
4.89,0.01,-0.16,0.11
4.981,0.02,-0.18,-0.02
5.072,-0.02,-0.2,-0.22
5.166,-0.01,-0.07,-0.29
5.266,-0.14,-0.13,0.11
5.343,-0.07,-0.04,0.33
5.434,-0.06,-0.12,0.29
5.524,0.1,-0.09,-0.05
5.617,0.13,0.12,-0.13
5.706,-0.02,0.06,0.08
5.796,0.03,-0.05,0.17
5.887,-0.0,-0.17,0.06
5.977,0.01,-0.26,-0.2
6.07,-0.14,-0.03,-0.28
6.172,-0.13,-0.0,-0.23
6.249,0.11,0.09,-0.09
