time,ax,ay,az
0,-0.02,0.01,0.05
0.031,-0.02,-0.01,-0.05
0.123,-0.0,0.01,-0.01
0.212,0.02,0.0,0.09
0.303,0.01,0.02,0.01
0.393,0.0,0.02,-0.03
0.484,-0.02,-0.0,-0.03
0.575,-0.02,-0.01,0.02
0.665,0.0,-0.0,0.02
0.759,-0.0,0.01,0.01
0.846,-0.0,-0.02,0.04
0.938,-0.02,0.0,-0.01
1.04,-0.01,0.0,-0.01
1.118,0.0,-0.01,-0.03
1.208,0.02,-0.0,0.03
1.299,0.04,0.01,0.03
1.39,-0.01,0.01,-0.02
1.48,-0.03,-0.0,-0.01
1.571,-0.03,-0.02,-0.01
1.662,-0.01,-0.0,0.04
1.752,0.02,0.0,0.02
1.843,0.02,0.01,-0.01
1.945,-0.0,-0.0,-0.01
2.023,0.01,-0.02,0.02
2.114,-0.02,0.0,-0.03
2.205,-0.02,-0.01,-0.03
2.295,0.0,-0.0,0.05
2.386,0.03,0.02,0.02
2.476,0.0,0.01,-0.02
2.568,-0.04,0.01,-0.05
2.657,-0.01,-0.01,0.06
2.752,0.02,0.0,0.0
2.853,0.02,0.02,-0.04
2.929,0.01,0.01,0.01
3.02,-0.01,-0.0,0.03
3.11,-0.02,0.0,-0.03
3.201,-0.01,-0.01,0.02
3.291,0.02,-0.0,0.07
3.382,0.01,0.01,-0.01
3.475,-0.01,0.0,-0.03
3.563,-0.02,-0.02,0.02
3.659,-0.01,-0.0,-0.01
3.756,0.01,-0.01,0.03
3.835,0.01,-0.01,0.01
3.925,-0.01,-0.0,-0.01
4.016,-0.02,-0.01,0.05
4.106,-0.04,-0.02,-0.03
4.197,-0.01,0.0,0.04
4.287,0.01,0.01,0.07
4.378,-0.0,0.01,0.01
4.468,0.01,-0.07,0.09
4.562,0.08,-0.14,0.19
4.663,0.12,-0.2,0.08
4.74,-0.01,-0.14,0.01
4.831,-0.07,-0.09,0.18
4.921,0.03,-0.11,0.18
5.012,-0.06,-0.15,-0.04
5.102,-0.01,-0.23,-0.1
5.193,-0.14,0.09,-0.15
5.285,-0.03,-0.01,0.23
5.374,-0.02,0.06,0.13
5.469,-0.01,0.03,0.13
5.571,0.02,-0.24,-0.06
5.646,0.23,-0.29,-0.29
5.736,0.08,0.15,-0.25
5.827,0.02,0.04,0.2
5.917,-0.05,0.18,0.23
6.008,-0.04,0.07,0.3
6.099,-0.04,-0.03,0.09
6.189,-0.01,-0.04,-0.32
6.28,-0.09,-0.05,-0.3
6.375,-0.18,0.01,0.08
6.476,-0.05,0.22,0.28
6.551,0.05,0.07,0.24
6.642,0.1,-0.14,-0.12
6.732,0.08,-0.31,-0.22
6.823,0.16,0.03,-0.27
6.914,0.0,0.01,0.16
7.004,-0.06,0.24,0.04
7.095,0.0,0.18,0.27
7.185,0.07,-0.07,0.07
7.28,0.06,-0.19,-0.23
7.382,-0.03,0.07,-0.45
7.457,-0.13,-0.03,0.04
7.547,-0.07,0.26,0.24
7.638,-0.01,0.09,0.34
7.729,0.06,-0.16,-0.02
7.819,0.1,-0.38,-0.29
7.91,0.13,0.06,-0.42
8.0,0.03,-0.02,0.13
8.091,-0.07,0.25,0.17
8.185,-0.02,0.23,0.27
8.287,0.13,-0.06,0.06
8.362,0.06,-0.23,-0.2
8.453,-0.01,0.05,-0.47
8.544,-0.19,-0.07,0.04
8.634,-0.12,0.25,0.23
8.725,0.04,0.03,0.39
8.815,0.11,-0.08,-0.28
8.906,0.06,-0.29,-0.37
8.996,0.05,0.03,-0.22
9.093,-0.09,0.1,0.16
9.192,-0.09,0.28,0.25
9.268,-0.06,0.13,0.22
9.359,0.07,-0.08,0.08
9.449,0.16,-0.25,-0.23
9.54,0.04,0.1,-0.43
9.63,-0.1,0.03,0.09
9.721,-0.06,0.19,0.19
9.811,-0.01,0.03,0.31
9.902,0.01,-0.12,0.05
9.998,0.21,-0.38,-0.44
10.101,0.11,0.01,-0.36
10.174,-0.02,0.14,0.16
10.264,-0.06,0.31,0.28
10.355,0.03,0.09,0.27
10.445,-0.04,-0.17,-0.06
10.536,-0.08,-0.3,-0.34
10.627,0.06,0.06,-0.26
10.717,-0.08,0.16,0.13
10.808,-0.01,0.27,0.27
10.902,0.0,0.04,0.3
11.003,-0.04,-0.19,-0.11
11.079,0.06,-0.23,-0.2
11.17,0.05,-0.06,-0.37
11.26,-0.04,0.08,-0.13
11.351,-0.03,0.26,0.37
11.441,0.0,0.07,0.28
11.532,0.08,-0.09,0.0
11.623,0.06,-0.21,-0.38
11.713,-0.08,-0.02,-0.35
11.81,-0.12,0.16,0.17
11.908,-0.15,0.21,0.23
11.985,0.1,0.08,0.3
12.075,0.03,-0.16,-0.16
12.166,0.03,-0.28,-0.31
12.256,0.11,-0.07,-0.17
12.347,-0.08,0.13,0.07
12.438,-0.04,0.27,0.35
12.528,0.06,0.11,0.25
12.619,0.09,-0.1,-0.09
12.716,0.01,-0.15,-0.23
12.816,-0.02,0.05,-0.27
12.89,-0.14,0.12,0.02
12.981,-0.04,0.27,0.35
13.072,-0.02,0.03,0.27
13.162,-0.03,-0.27,-0.12
13.253,0.05,-0.29,-0.33
13.343,0.19,0.01,-0.14
13.434,-0.06,0.1,0.03
13.524,-0.07,0.28,0.27
13.62,0.04,0.18,0.26
13.722,0.02,-0.05,-0.07
13.796,-0.1,-0.32,-0.19
13.887,-0.01,0.14,-0.17
13.977,-0.12,0.15,0.19
14.068,-0.09,0.22,0.31
14.158,0.0,0.04,0.24
14.249,0.03,-0.26,-0.15
14.339,0.12,-0.38,-0.46
14.43,0.15,0.05,-0.13
