time,ax,ay,az
0,0.04,0.01,0.03
0.091,-0.0,0.18,0.08
0.181,0.12,-0.07,-0.12
0.272,-0.02,-0.04,0.04
0.362,0.02,-0.02,-0.06
0.455,0.05,-0.03,-0.06
0.553,0.01,-0.0,0.03
0.656,-0.0,0.0,-0.02
0.725,-0.05,0.03,0.01
0.815,-0.02,0.0,0.03
0.906,0.01,-0.03,0.03
0.996,0.0,-0.01,-0.05
1.087,-0.0,0.01,0.02
1.177,0.01,-0.01,0.01
1.268,-0.0,-0.0,-0.03
1.358,-0.02,0.01,-0.01
1.465,-0.01,0.01,0.02
1.558,0.0,0.0,-0.05
1.63,0.01,-0.01,-0.0
1.721,0.01,0.01,-0.02
1.811,0.01,0.01,0.01
1.902,0.02,0.01,0.01
1.992,0.0,0.01,0.0
2.083,0.02,-0.01,0.02
2.173,-0.02,0.01,-0.02
2.266,0.01,-0.02,0.01
2.367,-0.02,0.02,-0.0
2.465,0.0,0.01,0.0
2.536,-0.0,0.01,-0.01
2.626,0.01,-0.01,0.03
2.717,-0.02,0.01,-0.02
2.807,0.0,0.0,-0.01
2.898,-0.0,0.01,0.01
2.989,0.01,-0.01,-0.02
3.079,0.02,0.0,0.02
3.172,-0.02,0.03,0.02
3.27,-0.01,0.01,-0.02
3.372,0.01,-0.01,-0.0
3.441,-0.01,0.01,0.02
3.532,0.0,0.01,0.0
3.622,0.02,-0.01,-0.02
3.713,0.0,-0.02,-0.01
3.804,-0.02,0.01,-0.03
3.894,0.01,0.0,0.03
3.985,0.03,-0.01,-0.0
4.078,0.01,0.0,0.02
4.178,-0.01,0.01,-0.0
4.274,-0.02,0.01,0.03
4.347,-0.01,-0.01,0.01
4.438,0.01,-0.01,-0.0
4.528,-0.0,0.0,0.01
4.619,-0.03,0.02,-0.04
4.709,0.01,-0.01,-0.01
4.8,-0.02,-0.0,-0.01
4.89,-0.02,0.02,-0.0
4.982,0.01,0.01,0.02
5.083,0.04,-0.01,0.05
5.181,0.02,-0.02,0.04
5.253,-0.01,-0.02,-0.0
5.343,-0.02,-0.03,0.04
5.433,0.03,-0.04,0.01
5.524,0.01,-0.02,0.02
5.615,0.06,-0.05,0.07
5.705,0.0,-0.05,0.05
5.796,-0.08,-0.07,0.17
5.889,-0.12,-0.09,0.11
5.986,-0.06,-0.12,0.1
6.089,-0.07,-0.12,0.15
6.158,-0.02,-0.17,0.05
6.249,-0.05,-0.15,-0.08
6.339,0.12,-0.05,0.0
6.43,0.12,0.01,-0.19
6.52,0.05,-0.02,0.06
6.611,0.03,-0.02,0.07
6.701,0.01,-0.01,0.2
6.792,0.02,-0.07,0.09
6.893,0.0,-0.1,-0.01
6.992,-0.05,-0.01,-0.2
7.064,-0.12,0.04,-0.1
7.154,-0.01,-0.03,0.01
7.245,-0.04,0.06,0.12
7.335,0.02,-0.03,0.22
7.426,0.01,-0.12,0.06
7.516,0.14,-0.03,-0.24
7.607,0.08,0.06,-0.08
7.7,0.06,0.05,0.01
7.8,0.01,0.02,0.19
7.898,0.04,-0.03,0.19
7.97,0.08,-0.04,0.07
8.06,-0.09,-0.04,-0.06
8.15,-0.04,-0.0,-0.46
8.241,-0.02,-0.01,0.04
8.332,-0.06,0.04,0.08
8.422,0.01,-0.02,0.27
8.512,-0.0,-0.05,0.07
8.608,0.14,0.04,-0.14
8.703,0.08,0.17,-0.5
8.805,0.06,0.07,0.11
8.875,0.08,0.0,0.19
8.965,0.06,-0.02,0.24
9.056,-0.01,-0.03,0.17
9.146,-0.14,-0.13,-0.22
9.237,-0.17,0.01,-0.43
9.328,-0.09,0.01,-0.05
9.418,-0.15,0.05,0.16
9.512,-0.03,0.01,0.18
9.612,0.02,-0.05,0.11
9.709,-0.02,0.02,-0.12
9.78,0.06,0.13,-0.36
9.871,0.12,0.07,0.01
9.962,0.04,0.04,-0.01
10.052,-0.0,-0.05,0.32
10.143,-0.01,-0.11,0.11
10.233,-0.04,-0.07,-0.03
10.324,-0.15,0.01,-0.4
10.417,-0.03,0.03,-0.06
10.518,-0.06,0.06,0.14
10.616,-0.06,0.05,0.21
10.686,-0.05,-0.05,0.1
10.777,-0.03,-0.05,-0.12
10.867,0.04,0.09,-0.15
10.958,0.09,0.14,-0.18
11.048,0.14,0.03,0.14
11.139,-0.0,-0.01,0.19
11.229,0.07,-0.13,0.21
11.322,-0.01,-0.09,-0.12
11.42,-0.01,-0.05,-0.08
11.521,0.0,0.06,-0.13
11.592,0.02,0.04,0.04
