time,ax,ay,az
0,-0.01,0.04,0.04
0.059,-0.04,0.01,0.02
0.149,-0.03,0.0,-0.01
0.24,-0.03,-0.01,0.06
0.33,0.0,0.01,0.03
0.421,-0.02,0.02,-0.07
0.512,-0.0,0.01,-0.01
0.602,0.02,-0.02,0.03
0.698,0.02,-0.0,0.01
0.799,0.02,0.01,0.02
0.897,0.01,-0.0,0.02
0.965,-0.01,-0.0,-0.01
1.055,-0.01,-0.0,-0.05
1.146,-0.03,-0.0,-0.02
1.236,0.02,0.01,0.02
1.327,0.0,0.01,-0.01
1.417,0.02,0.0,0.01
1.508,-0.0,-0.0,0.01
1.605,-0.02,-0.0,0.0
1.705,-0.03,0.0,0.01
1.804,0.0,0.01,0.01
1.87,0.01,0.02,-0.03
1.961,0.01,-0.01,0.01
2.051,0.01,-0.0,-0.0
2.142,0.0,0.01,-0.03
2.232,0.0,0.01,-0.01
2.323,0.02,0.0,-0.0
2.413,0.01,-0.01,0.01
2.51,0.0,-0.0,0.01
2.611,0.01,0.0,0.03
2.706,-0.01,0.02,0.01
2.776,-0.01,-0.01,-0.01
2.866,0.0,-0.01,-0.0
2.957,0.01,0.01,-0.01
3.047,-0.0,0.01,0.01
3.138,-0.02,0.0,0.01
3.228,-0.01,-0.0,0.03
3.319,0.0,-0.0,0.0
3.416,0.0,-0.01,-0.01
3.515,0.0,-0.0,0.02
3.611,0.01,0.02,-0.02
3.681,-0.02,0.0,-0.02
3.772,-0.03,-0.03,0.04
3.862,-0.03,-0.04,0.03
3.953,-0.03,-0.05,0.08
4.043,-0.02,-0.07,0.11
4.134,0.08,-0.18,0.22
4.224,0.04,-0.2,0.14
4.321,-0.07,-0.13,0.12
4.42,-0.04,-0.12,0.13
4.517,0.05,-0.18,-0.01
4.587,0.09,-0.2,-0.18
4.677,-0.06,0.04,-0.09
4.768,-0.01,0.11,0.03
4.858,0.01,-0.06,0.16
4.949,-0.04,-0.06,0.25
5.04,-0.02,-0.1,0.05
5.13,-0.03,-0.14,-0.31
5.225,-0.01,-0.01,-0.28
5.324,0.04,0.02,0.08
5.423,-0.06,0.02,0.19
5.493,-0.0,0.03,0.25
5.583,0.03,0.06,0.07
5.674,0.03,-0.05,-0.1
5.764,-0.04,0.04,-0.21
5.855,-0.08,0.09,-0.03
5.945,0.0,0.02,0.16
6.036,-0.0,-0.02,0.19
6.132,-0.02,-0.04,0.06
6.231,0.02,-0.11,-0.08
6.331,0.1,0.01,-0.2
6.398,0.05,0.01,-0.09
6.489,-0.01,0.05,0.04
6.579,-0.06,0.07,0.28
6.67,0.06,-0.0,0.21
6.76,0.03,-0.04,-0.04
6.851,0.05,-0.1,-0.23
6.941,0.0,0.11,-0.41
7.038,-0.03,-0.0,0.07
7.138,-0.07,0.07,0.31
7.237,0.04,-0.0,0.23
7.304,0.05,-0.08,-0.06
7.394,0.16,-0.2,-0.26
7.485,0.02,0.07,-0.49
7.575,-0.06,0.04,0.03
7.666,-0.04,0.1,0.28
7.756,0.02,0.03,0.24
7.847,0.04,-0.06,-0.01
7.943,0.1,-0.07,-0.22
8.044,-0.02,0.2,-0.44
8.139,-0.04,0.0,-0.09
8.209,-0.11,0.12,0.38
8.3,-0.01,0.04,0.34
8.39,0.02,-0.09,-0.08
8.481,0.02,-0.13,-0.23
8.571,0.05,0.2,-0.27
8.662,-0.09,-0.09,-0.01
8.752,-0.08,0.06,0.23
8.849,-0.01,0.04,0.25
8.947,0.08,-0.01,0.14
9.048,0.01,-0.03,-0.1
9.115,-0.0,0.0,-0.26
9.205,-0.07,0.1,-0.09
9.296,-0.11,0.1,0.14
9.387,0.01,0.02,0.42
9.477,-0.02,-0.09,0.07
9.567,-0.03,-0.2,-0.17
9.658,-0.01,-0.04,-0.27
9.755,0.11,0.01,-0.01
9.856,-0.05,0.13,-0.0
9.953,-0.14,0.13,0.43
10.021,0.13,0.02,0.25
10.111,-0.05,-0.09,-0.21
10.202,-0.0,0.09,-0.07
10.292,-0.07,0.05,-0.39
10.383,0.03,0.01,0.13
10.473,0.0,0.03,0.32
10.564,-0.0,-0.07,0.15
10.661,0.0,-0.09,-0.19
10.758,0.08,-0.04,-0.31
10.855,0.06,0.06,-0.21
10.926,-0.05,0.06,0.12
11.017,-0.07,0.08,0.34
11.107,0.07,-0.0,0.2
11.198,-0.01,-0.04,-0.08
11.288,0.08,-0.09,-0.2
11.379,0.02,0.14,-0.42
11.469,-0.05,-0.03,0.08
11.565,-0.1,0.06,0.33
11.666,0.09,0.02,0.28
11.761,-0.05,-0.12,-0.1
11.832,0.11,-0.1,-0.28
11.922,0.12,0.09,-0.25
12.013,-0.04,0.05,0.06
12.103,-0.01,0.14,0.31
12.194,0.05,0.04,0.25
12.284,0.07,-0.06,0.02
12.375,0.16,-0.13,-0.39
12.472,-0.19,0.11,-0.4
12.574,-0.08,-0.04,0.15
12.667,-0.08,0.16,0.28
12.737,0.01,0.06,0.19
12.828,0.01,-0.11,0.07
12.918,0.1,-0.22,-0.21
13.009,-0.02,0.09,-0.4
13.099,0.01,-0.03,0.06
13.19,-0.09,0.13,0.24
13.28,-0.12,0.08,0.15
13.381,0.12,0.01,0.21
13.471,0.02,-0.09,-0.26
13.576,-0.13,0.08,-0.53
13.643,-0.11,0.05,0.05
13.733,-0.12,0.12,0.25
13.824,0.02,0.11,0.35
13.914,0.07,-0.06,0.16
14.005,0.02,-0.18,-0.25
14.095,0.01,-0.1,-0.33
14.186,0.06,0.03,-0.05
14.283,-0.06,0.11,0.13
14.379,-0.06,0.1,0.23
14.478,0.07,0.06,0.23
14.548,-0.02,-0.04,-0.05
14.639,-0.07,-0.01,-0.29
14.73,-0.02,0.04,-0.27
14.82,-0.05,0.06,0.09
14.911,-0.02,0.14,0.26
15.001,0.02,0.02,0.23
15.092,0.08,-0.22,-0.1
15.189,0.13,-0.19,-0.34
15.29,0.14,0.05,-0.19
15.384,-0.02,0.07,0.08
15.454,-0.1,0.21,0.26
15.545,-0.01,0.06,0.28
15.635,-0.08,-0.05,0.11
15.726,0.18,-0.18,-0.3
15.816,-0.01,0.18,-0.66
15.907,-0.01,-0.08,0.06
15.997,-0.17,0.1,0.27
16.093,-0.0,0.03,0.34
16.191,0.02,-0.14,-0.01
16.289,0.08,-0.17,-0.34
16.36,0.04,0.09,-0.31
16.45,0.04,-0.02,0.06
16.541,-0.03,0.08,0.21
16.631,-0.0,0.04,0.27
16.722,0.04,0.01,0.03
16.812,-0.0,0.04,-0.19
16.903,-0.14,0.05,-0.38
17.001,-0.08,-0.02,0.02
17.097,-0.07,0.1,0.21
17.195,0.03,-0.02,0.34
17.265,0.02,-0.06,0.02
17.356,0.02,-0.07,-0.27
17.446,-0.04,0.1,-0.36
17.537,-0.01,0.02,-0.11
17.627,-0.1,-0.0,0.24
17.718,-0.0,0.12,0.31
17.808,0.07,0.09,0.17
17.906,0.02,-0.06,-0.24
18.005,-0.09,0.1,-0.44
18.102,-0.11,0.03,-0.0
18.171,-0.11,0.05,0.18
18.261,-0.03,0.13,0.34
18.352,0.07,0.02,0.3
18.442,-0.01,-0.17,-0.31
18.533,0.01,-0.11,-0.3
18.623,0.09,0.06,-0.07
18.714,-0.06,0.06,0.13
18.811,-0.08,0.15,0.3
18.909,0.02,0.04,0.22
19.008,0.04,-0.14,-0.06
19.076,0.08,-0.07,-0.35
19.167,-0.08,0.08,-0.32
19.257,-0.07,0.02,0.04
19.348,-0.1,0.18,0.32
19.439,0.06,0.0,0.27
19.529,-0.06,-0.13,0.06
19.62,0.09,-0.15,-0.3
19.714,0.14,0.08,-0.35
19.814,-0.06,0.09,0.07
19.912,-0.11,0.15,0.45
19.982,-0.04,0.05,0.29
20.073,0.03,-0.1,0.01
20.163,0.27,-0.23,-0.36
20.254,-0.06,0.23,-0.58
20.344,-0.03,-0.07,0.0
20.435,-0.08,0.2,0.23
20.525,-0.03,0.06,0.42
20.622,0.01,-0.17,0.07
20.721,0.01,-0.19,-0.3
20.819,0.04,0.06,-0.22
20.888,0.07,0.02,-0.07
20.978,-0.05,0.13,0.25
21.069,-0.05,0.05,0.26
21.159,0.06,0.01,0.18
21.25,0.05,-0.03,-0.22
21.34,-0.07,0.04,-0.34
21.431,-0.19,-0.04,-0.06
21.529,-0.14,0.1,0.13
21.623,-0.05,0.15,0.34
21.728,0.0,-0.02,0.18
21.793,-0.03,-0.13,-0.07
21.884,0.07,-0.09,-0.25
21.974,0.08,0.06,-0.22
22.065,0.0,0.07,-0.01
22.155,-0.03,0.1,0.32
22.246,0.03,0.04,0.23
22.336,0.02,-0.08,-0.06
22.43,0.03,-0.02,-0.28
22.531,0.01,0.09,-0.24
22.63,0.0,0.1,-0.07
22.699,-0.05,0.09,0.25
22.789,-0.01,0.0,0.25
22.88,-0.02,-0.02,0.07
22.97,0.08,-0.11,-0.24
23.061,0.02,0.21,-0.4
23.152,0.02,0.14,-0.14
23.242,-0.07,0.25,0.16
23.338,0.03,0.08,0.21
23.438,-0.04,0.03,0.04
23.536,0.06,0.0,-0.11
