time,ax,ay,az
0,0.03,0.04,-0.02
0.072,-0.0,0.01,0.04
0.163,-0.03,-0.04,0.02
0.253,0.0,-0.0,-0.01
0.344,0.02,0.0,0.04
0.434,0.01,0.02,-0.02
0.525,-0.03,-0.0,0.01
0.615,0.02,0.0,0.01
0.713,0.0,-0.0,0.03
0.809,0.0,-0.0,0.02
0.909,0.0,-0.0,0.01
0.978,-0.0,0.02,-0.01
1.068,0.01,-0.0,-0.03
1.159,0.0,-0.01,0.03
1.249,0.01,0.01,0.02
1.34,0.01,-0.0,0.03
1.43,-0.0,0.01,-0.03
1.521,0.01,-0.01,0.01
1.618,0.02,-0.0,0.01
1.716,-0.0,-0.01,-0.01
1.813,-0.0,-0.02,0.03
1.883,0.01,0.03,-0.01
1.974,-0.0,-0.01,-0.01
2.064,0.0,0.0,0.01
2.155,0.01,0.01,0.01
2.245,0.01,-0.01,0.01
2.336,-0.0,0.0,0.01
2.426,0.0,0.0,0.02
2.523,-0.0,-0.0,0.01
2.624,-0.01,-0.0,-0.0
2.723,-0.01,0.0,-0.03
2.789,-0.02,-0.0,-0.03
2.879,-0.0,-0.01,0.03
2.97,0.01,0.01,0.0
3.06,0.02,0.01,-0.0
3.151,-0.01,-0.01,-0.02
3.242,-0.01,-0.01,0.0
3.332,-0.0,-0.0,0.01
3.428,0.01,-0.0,0.03
3.529,-0.01,-0.02,0.02
3.627,-0.04,-0.04,0.05
3.695,-0.04,-0.05,0.02
3.785,-0.03,-0.07,0.02
3.876,-0.02,-0.05,0.1
3.966,0.06,-0.15,0.2
4.057,0.09,-0.18,0.1
4.147,-0.02,-0.13,0.01
4.238,0.0,-0.08,0.13
4.333,0.07,-0.1,0.16
4.435,0.04,-0.1,-0.13
4.533,0.06,-0.21,-0.11
4.6,0.02,0.13,0.04
4.691,0.07,0.03,0.15
4.781,-0.14,-0.06,0.13
4.872,-0.13,-0.08,0.14
4.962,-0.04,-0.28,-0.05
5.053,0.07,-0.25,-0.4
5.143,0.08,0.13,-0.18
5.24,0.07,0.04,0.18
5.341,-0.05,0.14,0.18
5.439,-0.01,0.07,0.2
5.506,0.03,-0.06,0.07
5.596,-0.04,-0.08,-0.26
5.687,-0.11,0.06,-0.11
5.777,-0.13,-0.04,0.07
5.868,-0.09,0.12,0.34
5.958,0.01,0.06,0.23
6.049,-0.01,-0.08,-0.1
6.143,-0.01,-0.11,-0.25
6.243,0.05,-0.04,-0.32
6.342,0.07,0.01,0.05
6.411,-0.07,0.07,0.13
6.502,-0.03,0.1,0.25
6.592,0.07,-0.02,0.13
6.683,-0.01,-0.08,-0.12
6.773,-0.02,-0.01,-0.19
6.864,-0.11,0.06,-0.1
6.954,-0.07,0.14,0.15
7.051,-0.04,0.12,0.29
7.148,0.04,-0.07,0.1
7.247,-0.0,-0.18,-0.22
7.317,0.04,-0.11,-0.25
7.407,0.07,0.05,-0.13
7.498,-0.02,0.08,0.16
7.589,-0.05,0.16,0.23
7.679,0.05,0.04,0.2
7.77,0.03,-0.13,-0.05
7.86,0.05,-0.07,-0.31
7.958,-0.05,0.08,-0.32
8.054,-0.05,0.03,0.08
8.154,-0.04,0.15,0.29
8.223,0.03,-0.0,0.18
8.313,-0.03,-0.11,-0.07
8.404,0.09,-0.13,-0.29
8.494,0.12,0.08,-0.27
8.585,-0.02,-0.0,0.1
8.675,-0.1,0.14,0.24
8.766,0.01,0.1,0.27
8.862,0.09,-0.05,0.07
8.96,0.17,-0.15,-0.3
9.061,-0.17,0.19,-0.38
9.128,-0.1,-0.05,0.06
9.219,-0.09,0.2,0.26
9.309,0.03,0.09,0.33
9.4,0.04,-0.14,0.13
9.49,0.05,-0.17,-0.27
9.581,0.01,0.08,-0.42
9.671,-0.04,-0.02,-0.09
9.77,-0.11,0.11,0.23
9.867,-0.04,0.1,0.31
9.964,0.09,-0.02,0.11
10.034,-0.03,-0.03,-0.25
10.124,-0.05,-0.0,-0.33
10.215,-0.24,-0.03,-0.02
10.305,-0.07,0.17,0.12
10.396,0.02,0.09,0.35
10.487,0.13,-0.1,0.16
10.577,0.06,-0.13,-0.13
10.674,0.03,0.02,-0.39
10.774,0.0,-0.04,-0.05
10.872,-0.08,0.11,0.27
10.939,-0.02,0.08,0.23
11.03,0.07,-0.03,0.08
11.12,-0.05,0.01,-0.21
11.211,-0.03,0.01,-0.25
11.302,-0.13,-0.0,-0.11
11.392,-0.06,0.16,0.28
11.483,-0.01,0.04,0.32
11.577,0.05,-0.1,0.01
11.68,0.01,-0.18,-0.32
11.774,0.01,-0.01,-0.35
11.845,0.06,-0.05,-0.01
11.936,-0.04,0.14,0.06
12.026,-0.03,0.18,0.31
12.117,0.08,0.04,0.27
12.207,0.03,-0.09,-0.12
12.298,-0.03,-0.11,-0.25
12.388,-0.08,0.03,-0.27
12.484,-0.1,0.14,0.18
12.585,-0.07,0.16,0.36
12.682,0.03,0.02,0.17
12.751,-0.02,-0.11,-0.15
12.841,0.02,-0.18,-0.27
12.932,0.07,0.05,-0.29
13.022,-0.01,-0.01,0.03
13.113,-0.04,0.18,0.3
13.203,0.07,0.13,0.28
13.294,0.09,-0.06,0.12
13.393,0.02,-0.14,-0.26
13.491,-0.02,0.1,-0.3
13.591,-0.08,0.08,-0.0
13.656,-0.06,0.11,0.26
13.747,0.01,0.02,0.2
13.837,-0.06,-0.1,0.01
13.928,0.11,-0.25,-0.16
14.018,0.14,0.07,-0.25
14.109,0.04,-0.01,-0.01
14.199,-0.03,0.14,0.19
14.295,0.02,0.12,0.26
14.394,0.12,0.04,0.21
14.494,0.12,-0.16,-0.24
14.562,-0.13,0.12,-0.42
14.652,-0.15,-0.04,-0.03
14.743,-0.07,0.14,0.26
14.833,0.09,0.17,0.11
14.924,0.03,-0.07,0.22
15.015,-0.06,-0.24,-0.16
15.105,0.01,-0.04,-0.46
15.201,0.07,0.01,-0.05
15.298,0.0,0.16,0.17
15.397,0.05,0.16,0.23
15.467,-0.0,0.02,0.2
15.558,-0.03,-0.13,-0.03
15.648,-0.11,-0.07,-0.24
15.739,-0.11,0.08,-0.21
15.83,-0.01,0.11,0.14
15.92,-0.05,0.11,0.31
16.011,-0.01,-0.04,0.19
16.107,0.01,-0.19,-0.1
16.208,0.01,-0.15,-0.4
16.303,0.03,0.09,-0.13
16.373,0.01,0.06,0.13
16.464,-0.04,0.13,0.34
16.554,0.02,0.06,0.29
16.645,0.06,-0.11,-0.0
16.735,0.22,-0.16,-0.44
16.826,0.01,0.08,-0.37
16.916,-0.09,-0.0,-0.01
17.013,-0.13,0.18,0.27
17.106,-0.02,0.01,0.37
17.212,0.02,-0.14,-0.0
17.279,0.1,-0.13,-0.39
17.369,0.05,0.02,-0.28
17.46,0.02,-0.02,-0.03
17.55,-0.05,0.15,0.19
17.641,-0.03,0.09,0.27
17.731,0.1,-0.04,0.14
17.822,0.08,-0.06,-0.28
17.919,-0.1,0.08,-0.24
18.016,-0.18,-0.02,0.02
18.115,-0.09,0.15,0.1
18.184,0.0,0.16,0.28
18.275,0.01,-0.06,0.28
18.365,-0.01,-0.19,-0.11
18.456,0.04,-0.08,-0.34
18.546,0.02,0.05,-0.05
18.637,-0.02,0.03,0.06
18.727,-0.11,0.12,0.25
18.824,0.02,0.05,0.26
18.921,0.02,-0.06,-0.02
19.02,0.18,-0.13,-0.29
19.09,0.02,0.02,-0.36
19.18,-0.03,0.01,-0.05
