time,ax,ay,az
0,-0.01,0.0,-0.04
0.05,0.03,0.01,0.0
0.141,-0.0,-0.02,0.0
0.24,0.01,-0.03,-0.0
0.322,-0.01,-0.0,0.01
0.42,-0.01,0.04,0.0
0.503,-0.0,0.04,0.0
0.594,0.03,0.03,-0.01
0.685,0.01,0.02,0.01
0.775,0.02,0.02,0.01
0.866,0.06,0.01,-0.02
0.956,-0.02,-0.0,-0.0
1.049,-0.06,0.02,0.03
1.151,-0.04,0.0,-0.0
1.228,0.01,-0.01,0.01
1.325,0.0,-0.01,0.01
1.409,0.01,0.04,0.02
1.5,0.03,0.04,0.02
1.592,0.0,-0.03,0.01
1.681,0.02,0.04,0.01
1.771,-0.0,-0.04,0.01
1.862,0.0,-0.18,0.01
1.955,0.0,-0.18,0.01
2.053,-0.0,-0.14,0.09
2.133,-0.05,-0.1,0.03
2.231,0.01,-0.14,0.07
2.315,-0.08,-0.27,-0.14
2.405,0.11,-0.11,-0.28
2.498,-0.16,-0.21,-0.05
2.586,0.18,-0.27,0.06
2.677,-0.26,-0.08,-0.41
2.767,0.48,0.13,-0.16
2.858,-0.05,-0.1,-0.29
2.96,-0.08,-0.07,0.77
3.039,-0.26,-0.07,0.33
3.137,-0.2,0.03,0.03
3.22,0.13,-0.03,0.21
3.311,0.06,0.01,-0.13
3.402,0.55,-0.13,-0.59
3.492,-0.45,0.06,-0.01
3.582,0.08,0.13,-0.07
3.673,-0.13,-0.13,0.53
3.768,0.41,0.15,-0.27
3.866,0.39,-0.12,-0.02
3.945,-0.4,0.07,-0.07
4.043,0.01,0.05,-0.19
4.126,0.11,-0.06,-0.14
4.217,0.17,0.03,-0.5
4.307,-0.06,-0.06,-0.2
4.398,-0.16,-0.1,-0.14
4.488,0.13,0.07,-0.08
4.579,0.05,-0.06,0.25
4.67,-0.07,-0.01,0.11
4.774,0.01,-0.11,-0.03
4.85,-0.18,0.04,-0.45
4.947,-0.07,0.03,-0.2
5.032,-0.05,-0.02,0.2
5.122,-0.21,-0.18,0.01
5.213,0.16,-0.07,-0.31
5.303,0.08,0.06,-0.11
5.394,0.04,-0.13,-0.46
5.484,-0.05,-0.05,0.23
5.577,0.03,0.01,0.38
5.674,0.1,-0.03,-0.51
5.756,-0.1,0.05,0.26
5.854,0.07,0.06,-0.46
5.937,0.04,0.15,0.44
6.028,-0.02,-0.09,-0.07
6.119,0.09,-0.04,0.14
6.209,0.1,-0.11,-0.09
6.299,-0.16,-0.09,0.01
6.39,0.03,-0.01,-0.23
6.483,-0.09,-0.09,0.1
6.583,0.19,-0.11,-0.46
6.662,-0.14,0.09,-0.44
6.758,-0.14,-0.04,0.28
6.843,-0.04,-0.05,-0.03
6.933,0.16,-0.08,-0.07
7.026,0.01,0.13,-0.41
7.115,-0.11,-0.1,-0.72
7.205,-0.1,-0.06,0.23
7.296,-0.15,-0.04,0.08
7.39,-0.04,-0.08,0.29
7.49,0.2,-0.05,0.08
7.567,0.09,-0.11,0.18
7.664,0.09,0.04,0.55
7.749,-0.09,-0.04,-0.09
7.839,0.07,-0.14,-0.06
7.93,-0.16,0.0,-0.47
8.02,-0.09,-0.12,0.34
8.111,-0.08,-0.21,0.19
8.201,-0.02,-0.21,-0.02
8.294,0.23,0.38,-1.19
8.396,0.25,0.02,0.16
8.473,0.28,-0.32,-0.44
8.572,-0.01,-0.23,0.41
8.654,-0.12,-0.11,-0.33
8.745,-0.23,-0.18,-0.3
8.836,0.09,0.16,-0.01
8.926,-0.07,0.07,1.4
9.016,-0.05,-0.13,-1.1
9.107,0.04,0.09,-0.23
9.201,-0.09,-0.03,0.78
9.301,0.16,-0.09,-0.37
9.379,-0.04,0.02,-0.69
9.475,-0.29,0.02,-0.85
9.56,-0.13,0.17,-0.48
9.65,0.09,-0.14,0.46
9.741,-0.01,-0.03,-0.66
9.832,0.2,-0.5,-1.04
9.922,-0.12,-0.01,-0.26
10.013,-0.05,0.14,1.33
10.106,-0.0,0.01,0.05
10.206,-0.09,-0.25,-0.38
10.285,-0.11,0.03,0.55
10.381,0.03,0.05,1.06
10.465,-0.06,-0.25,-0.18
10.556,0.03,-0.05,-0.06
10.649,0.0,0.08,-0.72
10.737,-0.08,0.1,0.07
10.828,-0.04,0.04,0.61
10.918,0.17,-0.22,-0.39
11.01,-0.01,-0.02,0.02
11.113,-0.05,-0.06,-0.15
11.19,-0.11,-0.15,0.31
11.287,0.1,-0.19,-0.09
11.371,0.14,-0.01,-0.03
11.462,-0.06,-0.04,-0.44
11.553,-0.08,-0.0,0.7
11.643,0.07,0.11,0.08
11.733,0.29,0.08,-0.14
11.824,-0.26,-0.19,0.09
11.92,-0.02,0.03,0.56
12.018,-0.14,-0.06,0.13
12.096,0.04,-0.22,0.02
12.194,-0.11,0.01,0.16
12.277,-0.02,-0.04,0.74
12.367,0.04,0.16,-0.09
12.458,0.07,0.01,0.52
12.548,-0.04,0.37,-0.28
12.639,-0.08,-0.21,-0.02
12.729,-0.19,0.29,0.15
12.824,0.01,0.1,-0.02
12.925,0.16,-0.29,-1.01
13.001,0.24,0.1,-0.43
13.096,0.03,-0.0,0.04
13.183,-0.18,-0.11,0.56
13.273,-0.13,0.06,-0.48
13.364,-0.07,-0.02,0.85
13.454,-0.06,0.04,1.01
13.545,0.27,-0.09,-0.64
13.635,0.09,0.06,-1.51
13.727,-0.06,0.03,0.92
13.827,0.11,-0.16,0.25
13.907,-0.06,0.09,0.99
14.005,-0.22,0.17,0.2
14.088,0.35,0.08,-0.19
14.179,-0.14,0.15,0.38
14.271,0.07,0.07,0.41
14.36,-0.21,0.18,0.32
14.45,-0.29,-0.08,0.13
14.541,-0.03,0.08,1.26
14.634,0.08,0.3,0.04
14.737,0.29,0.1,-0.6
14.813,-0.08,0.3,-0.82
14.91,0.12,-0.08,-0.03
14.994,-0.11,0.08,-0.41
15.084,-0.06,0.12,0.0
15.175,-0.09,0.04,-0.76
15.266,0.07,-0.01,-0.13
15.356,-0.01,0.16,0.33
15.447,0.15,0.28,-0.43
15.543,-0.01,0.22,1.0
15.641,-0.02,0.12,1.23
15.718,0.02,0.35,-0.23
15.814,0.0,0.2,-0.01
15.899,-0.1,0.23,-0.0
15.99,0.08,0.29,-0.15
16.083,-0.12,0.28,-0.04
16.171,-0.04,0.19,-0.02
16.262,-0.05,0.29,-0.03
16.352,0.03,0.26,-0.03
16.445,0.09,-0.06,0.09
16.547,-0.1,0.23,0.04
16.624,-0.05,-0.09,0.03
16.719,0.02,-0.1,-0.06
16.805,0.06,-0.08,0.04
16.896,-0.13,-0.03,0.01
16.986,0.03,-0.02,0.01
17.077,-0.05,0.04,0.01
17.167,0.02,0.02,0.01
17.258,-0.03,-0.03,0.02
17.355,-0.02,0.05,-0.07
17.458,0.04,0.02,0.02
17.529,0.04,0.02,-0.02
17.625,-0.04,0.07,-0.03
17.711,0.06,0.04,0.02
17.801,-0.02,0.02,0.01
